hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
Pakistani rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,popular music,popular music genre,musical style,music genre,,,,,,
French rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,popular music,popular music genre,musical style,music genre,,,,,,
antiphonary,church music,religious music,book,christian music,musical style,music genre,medium,opera,piece of work,storage,,,,,
heavy metal,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,,,,,,
seven-string guitar,guitar,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,
hymn,religious song,vocal,song,track,human voice,church music,religious music,musical composition,piece of music,opus,composition,christian music,musical style,music genre,musical work
temple blocks,idiophone,instrument,musical instrument,,,,,,,,,,,,
boogie,jazz,note,tone,musical note,blues,rhythm,beat,beat level,musical rhythm,popular music,popular music genre,musical style,music genre,musical notation,music notation
quintette,musical composition,piece of music,opus,composition,band,musical group,musical organization,music group,bandmember,rock group,rock band,team,musical work,dance band,dance orchestra
piccolo trumpet,instrument,musical instrument,aerophone,,,,,,,,,,,,
movement,musical work,musical composition,piece of music,opus,composition,work of art,,,,,,,,,
christian,music genre,,,,,,,,,,,,,,
fugue,counterpoint,classical,classical music,serious music,art music,musical composition,piece of music,opus,composition,polyphonic music,polyphony,musical style,music genre,musical work,texture
minuets,classical,music genre,,,,,,,,,,,,,
polyphonic music,texture,musicality,,,,,,,,,,,,,
vibraphonist,musician,person,,,,,,,,,,,,,
preamble,introduction,,,,,,,,,,,,,,
fantasies,classical,music genre,,,,,,,,,,,,,
golden oldie,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
shock rock,musical style,music genre,,,,,,,,,,,,,
bop,improvisation,extemporization,musical style,music genre,jazz,performance,popular music,popular music genre,demonstration,presentation,show,entertainment,amusement,,
study,musical work,musical composition,piece of music,opus,composition,work of art,,,,,,,,,
rock and roll,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
harmonisation,harmony,musical harmony,backup band,musical accompaniment,support,accompaniment,backup,vocalizing,singer,singing,vocalist,chord,band,musical group,musical organization
baritone horn,brass,brass instrument,french horn,horn,instrument,musical instrument,wind,wind instrument,aerophone,,,,,,
Russian pop,pop musician,pop music,pop,musical style,music genre,popular music,popular music genre,,,,,,,,
rainstick,idiophone,instrument,musical instrument,,,,,,,,,,,,
vihuela,plucked instrument,plucked string instrument,stringed instrument,string instrument,instrument,musical instrument,,,,,,,,,
sextet,band,musical group,musical organization,music group,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
Lithuanian rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,popular music,popular music genre,musical style,music genre,,,,,,
singing,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show,entertainment,amusement,,
punk revival,alternative rock,music genre,,,,,,,,,,,,,
idyll,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
Celtic rock,celtic fusion,musical style,music genre,,,,,,,,,,,,
introit,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
symphony,orchestra,philharmonic orchestra,musical work,sonata,musical composition,piece of music,opus,composition,band,musical group,musical organization,music group,bandmember,rock group,rock band
etude,musical work,musical composition,piece of music,opus,composition,work of art,,,,,,,,,
panpipes,instrument,musical instrument,transverse flute,flute,pipe,wood,woodwind instrument,woodwind,wind,wind instrument,aerophone,,,,
straight edge,subculture,youth subculture,youth culture,generation,contemporary,contemporaries,alternative rock,music genre,,,,,,,
freestyle,race,swim,swimming,contestant,competitor,competition,contest,track and field,group event,social event,music genre,,,,
crumhorn,instrument,musical instrument,double reed,wood,woodwind instrument,woodwind,reed,reed instrument,wind,wind instrument,aerophone,,,,
a cappella singing,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
contemporary blues,blues,music genre,,,,,,,,,,,,,
glockenspiel,percussion,percussive instrument,percussion instrument,idiophone,instrument,musical instrument,,,,,,,,,
karaoke,video game,pc game,computer game,vocalizing,singer,singing,vocalist,interactive entertainment,computer program,software program,video game console,game console,console,application,app
pop music,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
soul,african-american music,black music,gospel singing,gospel,gospel music,musical style,music genre,traditional music,folk,folkie,folk music,ethnic music,tune,popular music,popular music genre
clavichord,stringed instrument,string instrument,keyboard instrument,keyboard,instrument,musical instrument,,,,,,,,,
wedding music,music genre,,,,,,,,,,,,,,
piece of music,musical work,work of art,,,,,,,,,,,,,
ukelele,instrument,musical instrument,,,,,,,,,,,,,
phrase,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
flamenco,dance,dancing,dance music,musical style,music genre,musical work,performing arts,flick,picture,movie,pic,picture show,film,motion picture,work of art
harmonium,keyboard instrument,keyboard,wind,wind instrument,free reed,instrument,musical instrument,aerophone,,,,,,,
vocal blues,blues,music genre,,,,,,,,,,,,,
old-time country,classic country,country,music genre,,,,,,,,,,,,
lyre,bowed string instrument,string,bowed instrument,stringed instrument,string instrument,plucked instrument,plucked string instrument,harp,instrument,musical instrument,,,,,
arrangement,composing,composition,musical composition,piece of music,opus,musical work,work of art,,,,,,,,
punk rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,,,,,,
signature,air,strain,melodic line,melodic phrase,melody,tune,musical composition,piece of music,opus,composition,musical work,line of succession,work of art,,
contemporary big band,swing jazz,jazz,music genre,,,,,,,,,,,,
maracas,idiophone,instrument,musical instrument,,,,,,,,,,,,
salsa,condiment,seasoning,flavoring,flavouring,latin music,music genre,,,,,,,,,
flourish,air,strain,melodic line,melodic phrase,melody,tune,embellishment,musical work,line of succession,work of art,,,,,
four-part harmony,harmony,musical harmony,head voice,male voice,human voice,head register,moan,groan,vocalism,phonation,vocalization,vocalisation,voice quality,voice,vox
tarantella,dance,dance music,dancing,social dance,ballroom dance,ballroom,social dancing,musical work,performing arts,flick,picture,movie,pic,picture show,film
jaw harp,instrument,musical instrument,present day,plucked instrument,plucked string instrument,stringed instrument,string instrument,idiophone,,,,,,,
serenade,musical style,music genre,musical composition,piece of music,opus,composition,vocal,song,track,human voice,musical work,work of art,,,
gradual,chant,hymn,anthem,antiphony,antiphon,religious song,vocalizing,singer,singing,vocalist,vocal,song,track,human voice,responsory
waltzes,classical,music genre,,,,,,,,,,,,,
cantillation,intonation,chanting,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration
chansons,music genre,,,,,,,,,,,,,,
hip-hop,popular music,popular music genre,african-american music,black music,musical style,music genre,,,,,,,,,
musical accompaniment,band,musical group,musical organization,music group,voice,bandmember,rock group,rock band,team,air,strain,melodic line,melodic phrase,melody,tune
grand piano,instrument,musical instrument,,,,,,,,,,,,,
baroque pop,oldies,pop,music genre,,,,,,,,,,,,
arias,music genre,,,,,,,,,,,,,,
monochord,instrument,musical instrument,,,,,,,,,,,,,
funk rock,musical style,music genre,rock,,,,,,,,,,,,
chamber music,classical,classical music,serious music,art music,musical style,music genre,,,,,,,,,
swing jazz,jazz,music genre,,,,,,,,,,,,,
bouffe,opera,musical work,musical theater,drama,dramatic play,performing arts,classical,classical music,serious music,art music,work of art,theater,theatre,dramatics,dramaturgy
negro spiritual,religious song,vocal,song,track,human voice,church music,religious music,musical composition,piece of music,opus,composition,christian music,musical style,music genre,musical work
mazurkas,classical,music genre,,,,,,,,,,,,,
martial music,musical style,music genre,marching music,march,musical work,musical composition,piece of music,opus,composition,work of art,,,,,
scat singing,jazz,vocalizing,singer,singing,vocalist,musical improvisation,improvisation,popular music,popular music genre,musical style,music genre,vocal music,musical performance,speech,spoken language
theme song,air,strain,melodic line,melodic phrase,melody,tune,musical composition,piece of music,opus,composition,musical work,line of succession,work of art,,
sonata,musical work,classical,classical music,serious music,art music,work of art,musical style,music genre,,,,,,,
cadenza,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
inversion,music theory,variation,theme,melodic theme,musical theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,
opera,musical work,musical theater,drama,dramatic play,performing arts,classical,classical music,serious music,art music,work of art,theater,theatre,dramatics,dramaturgy,dramatic art
musical bow,instrument,musical instrument,present day,plucked instrument,plucked string instrument,stringed instrument,string instrument,,,,,,,,
syncopation,rhythm,beat,beat level,musical rhythm,musical composition,piece of music,opus,composition,musical time,musical work,work of art,specifications,,,
violoncello,bowed string instrument,string,bowed instrument,stringed instrument,string instrument,instrument,musical instrument,,,,,,,,
rock,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
oratorio,musical work,classical,classical music,serious music,art music,musical composition,piece of music,opus,composition,work of art,musical style,music genre,,,
emo,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,alternative rock,,,,,
west coast blues,regional blues,blues,music genre,,,,,,,,,,,,
kalimba,idiophone,instrument,musical instrument,,,,,,,,,,,,
dubstep,musical style,music genre,,,,,,,,,,,,,
blues,african-american music,black music,folk song,folk ballad,folksong,musical style,music genre,traditional music,folk,folkie,folk music,ethnic music,tune,vocal,song
extract,passage,,,,,,,,,,,,,,
electric blues,blues,music genre,,,,,,,,,,,,,
hard rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,,,,,,
celtic folk,folk,music genre,,,,,,,,,,,,,
electronica,musical style,music genre,,,,,,,,,,,,,
motet,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
delta blues,regional blues,blues,music genre,,,,,,,,,,,,
basset horn,instrument,musical instrument,clarinet,wood,woodwind instrument,woodwind,reed,reed instrument,wind,wind instrument,aerophone,,,,
antiphonal,church music,religious music,book,christian music,musical style,music genre,medium,opera,piece of work,storage,,,,,
folk ballad,traditional music,folk,folkie,folk music,ethnic music,tune,vocal,song,track,human voice,popular music,popular music genre,musical style,music genre,musical composition
world dance,music genre,,,,,,,,,,,,,,
american alternative,alternative rock,music genre,,,,,,,,,,,,,
chamber pop,alternative rock,music genre,,,,,,,,,,,,,
yodeling,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
quickstep,military march,martial music,military music,musical style,music genre,marching music,march,musical work,musical composition,piece of music,opus,composition,work of art,,
punk,teen,teenager,adolescent,subculture,youth subculture,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,juvenile,youth culture,popular music
pibroch,military march,martial music,military music,musical style,music genre,marching music,march,musical work,musical composition,piece of music,opus,composition,work of art,,
swing,jazz,popular music,popular music genre,musical style,music genre,specifications,,,,,,,,,
concertos,classical,music genre,,,,,,,,,,,,,
industrial,alternative rock,music genre,,,,,,,,,,,,,
americana,country,music genre,,,,,,,,,,,,,
tributes,pop,music genre,,,,,,,,,,,,,
crooning,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
post hardcore,alternative rock,music genre,,,,,,,,,,,,,
kick drum,instrument,membranophone,musical instrument,,,,,,,,,,,,
piano blues,blues,music genre,,,,,,,,,,,,,
jive,jazz,popular music,popular music genre,musical style,music genre,,,,,,,,,,
british punk,alternative rock,music genre,,,,,,,,,,,,,
ballads,classical,music genre,,,,,,,,,,,,,
preludes,classical,music genre,,,,,,,,,,,,,
percussion,musician,band,musical group,musical organization,music group,person,,,,,,,,,
acid jazz,musical style,music genre,jazz,,,,,,,,,,,,
twee pop,alternative rock,music genre,,,,,,,,,,,,,
reggaeton,latin music,music genre,,,,,,,,,,,,,
shawm,instrument,musical instrument,hautbois,oboe,double reed,wood,woodwind instrument,woodwind,reed,reed instrument,wind,wind instrument,aerophone,,
musical harmony,chord,note,tone,musical note,musical notation,music notation,,,,,,,,,
regional blues,blues,music genre,,,,,,,,,,,,,
dulcimer,instrument,musical instrument,,,,,,,,,,,,,
singsong,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
chantey,work song,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,
proto punk,alternative rock,music genre,,,,,,,,,,,,,
death metal,musical style,music genre,heavy metal music,heavy metal,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,popular music,popular music genre,metal,,,
preparation,harmony,musical harmony,chord,note,tone,musical note,musical notation,music notation,,,,,,,
thumb piano,idiophone,instrument,musical instrument,,,,,,,,,,,,
piano sonata,sonata,musical work,classical,classical music,serious music,art music,work of art,musical style,music genre,,,,,,
tone poems,classical,music genre,,,,,,,,,,,,,
electronic pop,alternative rock,music genre,,,,,,,,,,,,,
rag,dance,dance music,musical style,music genre,,,,,,,,,,,
lullaby,vocal,song,track,human voice,strain,musical composition,piece of music,opus,composition,vocal music,musical work,speech,spoken language,language,work of art
cittern,lute,stringed instrument,string instrument,guitar,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,
drum set,percussion,percussive instrument,percussion instrument,drum,membranophone,instrument,musical instrument,,,,,,,,
piccolo,transverse flute,flute,instrument,musical instrument,wood,woodwind instrument,woodwind,wind,wind instrument,aerophone,,,,,
djembe,darbuka,darbouka,drum,membranophone,percussion,percussive instrument,percussion instrument,instrument,musical instrument,,,,,,
voices,music genre,,,,,,,,,,,,,,
rap,popular music,popular music genre,african-american music,black music,musical style,music genre,,,,,,,,,
instrumentation,musical arrangement,arrangement,instrument,musical instrument,arranging,transcription,musical composition,piece of music,opus,composition,composing,musical work,work of art,,
new jack,music genre,,,,,,,,,,,,,,
trance,electronic dance music,musical style,music genre,electronic music,dance,dance music,music technology,,,,,,,,
rap rock,musical style,music genre,rock,,,,,,,,,,,,
art rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,,,,,,
tambourine,instrument,musical instrument,frame drum,drum,membranophone,percussion,percussive instrument,percussion instrument,,,,,,,
banjo,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,,
reharmonization,harmonisation,harmonization,harmony,musical harmony,backup band,musical accompaniment,support,accompaniment,backup,chord,band,musical group,musical organization,music group,voice
andante,musical passage,passage,musical composition,piece of music,opus,composition,tempo,pacing,laya,musical work,musical time,work of art,specifications,,
track,extract,selection,excerpt,musical composition,piece of music,opus,composition,passage,musical work,work of art,,,,,
quote,excerpt,selection,extract,,,,,,,,,,,,
pan flute,instrument,musical instrument,transverse flute,flute,pipe,wood,woodwind instrument,woodwind,wind,wind instrument,aerophone,,,,
Brazilian rock,musical style,music genre,,,,,,,,,,,,,
southern soul,music genre,,,,,,,,,,,,,,
harmonization,harmony,musical harmony,backup band,musical accompaniment,support,accompaniment,backup,vocalizing,singer,singing,vocalist,chord,band,musical group,musical organization
swedish pop,euro pop,pop,music genre,,,,,,,,,,,,
traditional,religious ceremony,religious ritual,orthodoxy,rite,ceremony,unoriginality,observance,ceremonial,function,affair,social function,occasion,group event,social event,gospel
southern rap,music genre,,,,,,,,,,,,,,
italian pop,euro pop,pop,music genre,,,,,,,,,,,,
Latin jazz,jazz,musical style,music genre,popular music,popular music genre,,,,,,,,,,
spoken word,verse,poetry,poesy,music genre,,,,,,,,,,,
claves,percussion,percussive instrument,percussion instrument,instrument,musical instrument,idiophone,,,,,,,,,
western swing,country,music genre,,,,,,,,,,,,,
intonation,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
arioso,vocalizing,singer,singing,vocalist,recitative,vocal music,musical performance,musical passage,passage,speech,spoken language,language,performance,performing arts,musical composition
melody,musical work,line of succession,musical perception,work of art,psychoacoustics,auditory perception,psychology,perception,methodology,method,way,,,,
elegies,classical,music genre,,,,,,,,,,,,,
lieder,music genre,,,,,,,,,,,,,,
cornet,instrument,musical instrument,brass,brass instrument,aerophone,wind,wind instrument,,,,,,,,
pastoral,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
northern,music genre,,,,,,,,,,,,,,
timpani,percussion,percussive instrument,percussion instrument,instrument,musical instrument,membranophone,,,,,,,,,
pop metal,metal,music genre,,,,,,,,,,,,,
theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,,,,
new jazz,jazz,musical style,music genre,popular music,popular music genre,,,,,,,,,,
piano,softness,percussion,percussive instrument,percussion instrument,stringed instrument,string instrument,locale,instrument,musical instrument,keyboard instrument,keyboard,scene,country,specifications,integral
black music,musical style,music genre,,,,,,,,,,,,,
programme music,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
sing-a-longs,music genre,,,,,,,,,,,,,,
counterpoint,polyphonic music,polyphony,texture,musicality,,,,,,,,,,,
waltz,musical work,dance,dance music,work of art,,,,,,,,,,,
instrumental music,recording,musical composition,piece of music,opus,composition,musical work,task,work of art,,,,,,,
solmization,proficiency,technique,musical technique,vocalizing,singer,singing,vocalist,musical notation,music notation,vocal music,musical performance,state,speech,spoken language,language
homophony,part music,,,,,,,,,,,,,,
organ,keyboard instrument,keyboard,wind,wind instrument,free reed,instrument,musical instrument,aerophone,electronic instrument,electronic musical instrument,,,,,
finger cymbals,percussion,percussive instrument,percussion instrument,instrument,musical instrument,idiophone,,,,,,,,,
primo,voice,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,,,
disco,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
incidental music,musical composition,piece of music,opus,composition,musical work,work of art,classical,music genre,,,,,,,
southern gospel,christian,music genre,,,,,,,,,,,,,
gospel,traditional music,folk,folkie,folk music,ethnic music,tune,musical style,music genre,popular music,popular music genre,musical composition,piece of music,opus,composition,musical work
sleigh bells,idiophone,instrument,musical instrument,,,,,,,,,,,,
bachata,musical style,music genre,latin music,,,,,,,,,,,,
etudes,classical,music genre,,,,,,,,,,,,,
shoegazing,alternative rock,music genre,,,,,,,,,,,,,
traditional pop,pop,oldies,music genre,,,,,,,,,,,,
recitative,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
salutation,opening,,,,,,,,,,,,,,
mbira,idiophone,instrument,musical instrument,,,,,,,,,,,,
cabaret,show,entertainment,amusement,musical style,music genre,,,,,,,,,,
barcarolle,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
motown,music genre,,,,,,,,,,,,,,
canons,classical,music genre,,,,,,,,,,,,,
score,sheet music,musical notation,music notation,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,
recessional,hymn,anthem,,,,,,,,,,,,,
solo,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
dixieland,jazz,music genre,,,,,,,,,,,,,
symphonic music,musical work,sonata,musical composition,piece of music,opus,composition,work of art,classical,classical music,serious music,art music,musical style,music genre,,
leitmotif,musical work,air,strain,melodic line,melodic phrase,melody,tune,work of art,line of succession,,,,,,
prelude,musical work,musical composition,piece of music,opus,composition,work of art,,,,,,,,,
habanera,dance,dance music,,,,,,,,,,,,,
adagio,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
torch song,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
masses,music genre,,,,,,,,,,,,,,
pop,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
fugues,classical,music genre,,,,,,,,,,,,,
melodic line,musical work,line of succession,work of art,,,,,,,,,,,,
ranchera,latin music,music genre,,,,,,,,,,,,,
scherzo,musical work,movement,musical composition,piece of music,opus,composition,work of art,classical,music genre,,,,,,
humming,vocalizing,singer,singing,vocalist,sound,sound wave,noise,vocal music,musical performance,undulation,wave,speech,spoken language,language,performance
impromptu,lecture,speech,talk,address,musical passage,passage,musical composition,piece of music,opus,composition,musician,musical work,person,work of art,
odes,music genre,,,,,,,,,,,,,,
chorale prelude,prelude,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,
musical saw,idiophone,instrument,musical instrument,,,,,,,,,,,,
quintet,musical composition,piece of music,opus,composition,band,musical group,musical organization,music group,bandmember,rock group,rock band,team,musical work,dance band,dance orchestra
work song,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
singalong,vocalizing,singer,singing,vocalist,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show
french pop,euro pop,pop,music genre,,,,,,,,,,,,
overture,musical work,work of art,,,,,,,,,,,,,
orchestral jazz,jazz,music genre,,,,,,,,,,,,,
soft rock,musical style,music genre,pop,,,,,,,,,,,,
rock'n'roll,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
adult alternative,pop,music genre,,,,,,,,,,,,,
fado,folk song,folk ballad,folksong,musical style,music genre,traditional music,folk,folkie,folk music,ethnic music,tune,vocal,song,track,human voice
merengue,latin music,music genre,,,,,,,,,,,,,
shanty,work song,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,
baritone guitar,guitar,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,
ratchet,mechanism,idiophone,instrument,musical instrument,,,,,,,,,,,
voice,singer,vocalist,air,strain,melodic line,melodic phrase,melody,tune,musician,musical work,line of succession,work of art,person,,
bolero,dance,dance music,,,,,,,,,,,,,
keyed trumpet,instrument,musical instrument,aerophone,,,,,,,,,,,,
monody,texture,musicality,,,,,,,,,,,,,
industrial dance,alternative rock,industrial,music genre,,,,,,,,,,,,
descant,backup band,musical accompaniment,support,accompaniment,backup,band,musical group,musical organization,music group,voice,bandmember,rock group,rock band,team,air
canon,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
postlude,voluntary,solo,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
rock guitarists,rock,music genre,,,,,,,,,,,,,
violin,bowed string instrument,string,bowed instrument,stringed instrument,string instrument,instrument,musical instrument,,,,,,,,
snare drum,instrument,musical instrument,drum,membranophone,percussion,percussive instrument,percussion instrument,,,,,,,,
grand opera,opera,musical work,musical theater,drama,dramatic play,performing arts,classical,classical music,serious music,art music,work of art,theater,theatre,dramatics,dramaturgy
surf rock,rock,music genre,,,,,,,,,,,,,
flageolet,instrument,musical instrument,aerophone,,,,,,,,,,,,
harmony,chord,note,tone,musical note,musical notation,music notation,,,,,,,,,
composition,musical work,work of art,,,,,,,,,,,,,
plainsong,chant,choral,chorale,religious song,vocalizing,singer,singing,vocalist,musical work,hymn,anthem,church music,religious music,vocal,song
crwth,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,,
love-song,vocal,song,track,human voice,musical composition,piece of music,opus,composition,musical work,work of art,,,,,
disco music,popular music,popular music genre,musical style,music genre,,,,,,,,,,,
cymbal,percussion,percussive instrument,percussion instrument,idiophone,instrument,musical instrument,,,,,,,,,
tune,musical work,line of succession,work of art,,,,,,,,,,,,
traditional folk,folk,music genre,,,,,,,,,,,,,
country music,traditional music,folk,folkie,folk music,ethnic music,tune,pop musician,pop music,pop,musical style,music genre,popular music,popular music genre,musical composition,piece of music
figured bass,bass part,bass,voice,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,
musical composition,musical work,work of art,,,,,,,,,,,,,
jazz fusion,jazz,musical style,music genre,popular music,popular music genre,,,,,,,,,,
serial music,proficiency,technique,musical technique,series,work of art,state,specifications,,,,,,,,
korean pop,pop,music genre,,,,,,,,,,,,,
twelve-tone system,serialism,serial music,proficiency,technique,musical technique,series,work of art,state,,,,,,,
comedic music,music genre,,,,,,,,,,,,,,
musical drama,opera,musical work,musical theater,drama,dramatic play,performing arts,classical,classical music,serious music,art music,work of art,theater,theatre,dramatics,dramaturgy
ska,alternative rock,music genre,,,,,,,,,,,,,
vocalizing,vocal music,musical performance,speech,spoken language,language,performance,performing arts,human language,demonstration,presentation,show,entertainment,amusement,,
teen pop,pop musician,pop music,pop,musical style,music genre,popular music,popular music genre,,,,,,,,
melodic theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,,,,
country rock,musical style,music genre,rock,,,,,,,,,,,,
brazilian jazz,jazz,music genre,,,,,,,,,,,,,
rider,article,clause,,,,,,,,,,,,,
chorus,band,musical group,musical organization,music group,vocal,song,track,human voice,bandmember,rock group,rock band,team,troupe,company,musical composition
serious music,musical style,music genre,,,,,,,,,,,,,
clipping,excerpt,selection,extract,,,,,,,,,,,,
big beat,music genre,,,,,,,,,,,,,,
motive,theme,melodic theme,musical theme,air,strain,melodic line,melodic phrase,melody,tune,musical work,line of succession,work of art,,,
vallenato,traditional music,folk,folkie,folk music,ethnic music,tune,musical style,music genre,popular music,popular music genre,musical composition,piece of music,opus,composition,musical work
bongos,instrument,membranophone,musical instrument,,,,,,,,,,,,
nocturnes,short forms,classical,music genre,,,,,,,,,,,,
gregorian chant,chant,,,,,,,,,,,,,,
tuba,brass,brass instrument,wind,wind instrument,bass instrument,bass,instrument,musical instrument,aerophone,,,,,,
bongo drums,instrument,membranophone,musical instrument,,,,,,,,,,,,
morceau,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
songstress,songster,singer,vocalist,musician,,,,,,,,,,,
turntablists,music genre,,,,,,,,,,,,,,
requiem,musical work,musical composition,piece of music,opus,composition,hymn,anthem,soulfulness,vocal,song,track,human voice,work of art,religious ceremony,religious ritual
carol,strain,religious song,song,,,,,,,,,,,,
