concept	property	prop_count	pos_tag	is_only_adj	is_last_word_noun
tumor grade	prognostic	20	[('prognostic', 'JJ')]	True	False
creative thinker	 intellectual	23	[('intellectual', 'JJ')]	True	False
encyclopedia	tertiary	12	[('tertiary', 'JJ')]	True	False
electric motor	inductive	11	[('inductive', 'JJ')]	True	False
ventilator	medical	456	[('medical', 'JJ')]	True	False
antimony trioxide	 white solid	16	[('white', 'JJ'), ('solid', 'JJ')]	True	False
list	complex	256	[('complex', 'JJ')]	True	False
leaflet	traditional	682	[('traditional', 'JJ')]	True	False
ipod	valuable	127	[('valuable', 'JJ')]	True	False
buckle	rigid	25	[('rigid', 'JJ')]	True	False
reservoir	local	332	[('local', 'JJ')]	True	False
lake	physical	686	[('physical', 'JJ')]	True	False
jean	informal	18	[('informal', 'JJ')]	True	False
straw	agricultural	114	[('agricultural', 'JJ')]	True	False
jquery	popular	467	[('popular', 'JJ')]	True	False
auxin	classical	92	[('classical', 'JJ')]	True	False
flood	unexpected	30	[('unexpected', 'JJ')]	True	False
coffee maker	electrical	163	[('electrical', 'JJ')]	True	False
kidney	soft	247	[('soft', 'JJ')]	True	False
knee replacement	surgical	58	[('surgical', 'JJ')]	True	False
sleeplessness	physical	686	[('physical', 'JJ')]	True	False
television	modern electronic	17	[('modern', 'JJ'), ('electronic', 'JJ')]	True	False
strategic management	advanced	233	[('advanced', 'JJ')]	True	False
washing machine	electric	41	[('electric', 'JJ')]	True	False
venture capitalist	sophisticated	22	[('sophisticated', 'JJ')]	True	False
controller	consumable	67	[('consumable', 'JJ')]	True	False
humidity	ecological	39	[('ecological', 'JJ')]	True	False
forward collision warning	active	130	[('active', 'JJ')]	True	False
nike	global	202	[('global', 'JJ')]	True	False
solar energy	natural	709	[('natural', 'JJ')]	True	False
call of duty	popular	467	[('popular', 'JJ')]	True	False
barrel	unstable	14	[('unstable', 'JJ')]	True	False
plywood	structural	156	[('structural', 'JJ')]	True	False
cell phone	expensive	62	[('expensive', 'JJ')]	True	False
spice	functional	143	[('functional', 'JJ')]	True	False
swarovski	popular	467	[('popular', 'JJ')]	True	False
solar thermal	renewable	60	[('renewable', 'JJ')]	True	False
manufacturing	functional	143	[('functional', 'JJ')]	True	False
jakarta	asian	38	[('asian', 'JJ')]	True	False
ethnicity	personal	635	[('personal', 'JJ')]	True	False
advertising	creative	64	[('creative', 'JJ')]	True	False
turkey	white	65	[('white', 'JJ')]	True	False
print	traditional	682	[('traditional', 'JJ')]	True	False
chinatown	ethnic	20	[('ethnic', 'JJ')]	True	False
advertising	commercial	172	[('commercial', 'JJ')]	True	False
cellular phone	portable	91	[('portable', 'JJ')]	True	False
disgust	moral	26	[('moral', 'JJ')]	True	False
railway station	notable	42	[('notable', 'JJ')]	True	False
microwave oven	electronic	281	[('electronic', 'JJ')]	True	False
aloe vera	organic	355	[('organic', 'JJ')]	True	False
honeywell	global	202	[('global', 'JJ')]	True	False
utility	stable	15	[('stable', 'JJ')]	True	False
theft	unexpected	30	[('unexpected', 'JJ')]	True	False
ultraviolet absorber	conventional	429	[('conventional', 'JJ')]	True	False
icebergs	 small	21	[('small', 'JJ')]	True	False
environmental pollution	social	388	[('social', 'JJ')]	True	False
war	extraordinary	13	[('extraordinary', 'JJ')]	True	False
dump truck	large	852	[('large', 'JJ')]	True	False
montmorillonite	natural	709	[('natural', 'JJ')]	True	False
microsoft word	common	802	[('common', 'JJ')]	True	False
umbrella	recreational	163	[('recreational', 'JJ')]	True	False
bolt	removable	34	[('removable', 'JJ')]	True	False
material	 solid	21	[('solid', 'JJ')]	True	False
flowers	 red	40	[('red', 'JJ')]	True	False
ring	valuable	127	[('valuable', 'JJ')]	True	False
south korea	asian	38	[('asian', 'JJ')]	True	False
flipkart	indian	58	[('indian', 'JJ')]	True	False
wikipedia	popular	467	[('popular', 'JJ')]	True	False
severe weather	natural	709	[('natural', 'JJ')]	True	False
alanine	small	653	[('small', 'JJ')]	True	False
tank	mechanical	187	[('mechanical', 'JJ')]	True	False
peanut	unrefined	14	[('unrefined', 'JJ')]	True	False
event	critical	172	[('critical', 'JJ')]	True	False
titanium alloy	biocompatible	18	[('biocompatible', 'JJ')]	True	False
tolerance	positive	70	[('positive', 'JJ')]	True	False
laser therapy	surgical	58	[('surgical', 'JJ')]	True	False
child care	personal	635	[('personal', 'JJ')]	True	False
cardiovascular disease	systemic	124	[('systemic', 'JJ')]	True	False
stress	physiological	81	[('physiological', 'JJ')]	True	False
tetracycline	topical	63	[('topical', 'JJ')]	True	False
immigration	demographic	126	[('demographic', 'JJ')]	True	False
pretzel	healthy	115	[('healthy', 'JJ')]	True	False
osteomyelitis	serious	276	[('serious', 'JJ')]	True	False
person	common	802	[('common', 'JJ')]	True	False
sapphire	hard	160	[('hard', 'JJ')]	True	False
lyme disease	serious	276	[('serious', 'JJ')]	True	False
microdermabrasion	professional	165	[('professional', 'JJ')]	True	False
cardinals	 red	40	[('red', 'JJ')]	True	False
terrorism	criminal	14	[('criminal', 'JJ')]	True	False
lung cancer	pulmonary	23	[('pulmonary', 'JJ')]	True	False
accountant	traditional	682	[('traditional', 'JJ')]	True	False
shoe	basic	667	[('basic', 'JJ')]	True	False
antenna	loose	68	[('loose', 'JJ')]	True	False
carbamazepine	traditional	682	[('traditional', 'JJ')]	True	False
brace	conventional	429	[('conventional', 'JJ')]	True	False
coffee	nice	15	[('nice', 'JJ')]	True	False
sensor	electrochemical	15	[('electrochemical', 'JJ')]	True	False
air	suitable	205	[('suitable', 'JJ')]	True	False
ukraine	eastern	40	[('eastern', 'JJ')]	True	False
candy	unhealthy	32	[('unhealthy', 'JJ')]	True	False
type	basic	667	[('basic', 'JJ')]	True	False
status	social	388	[('social', 'JJ')]	True	False
deforestation	global	202	[('global', 'JJ')]	True	False
nyc	big	266	[('big', 'JJ')]	True	False
van	large	852	[('large', 'JJ')]	True	False
birth certificate	valuable	127	[('valuable', 'JJ')]	True	False
snake	dangerous	53	[('dangerous', 'JJ')]	True	False
climate change	sustainable	13	[('sustainable', 'JJ')]	True	False
precipitation	abiotic	71	[('abiotic', 'JJ')]	True	False
tin	global	202	[('global', 'JJ')]	True	False
e commerce	competitive	44	[('competitive', 'JJ')]	True	False
illness	environmental	592	[('environmental', 'JJ')]	True	False
tofu	protein-rich	19	[('protein-rich', 'JJ')]	True	False
religions	 important	22	[('important', 'JJ')]	True	False
bible study	spiritual	27	[('spiritual', 'JJ')]	True	False
apache	open	86	[('open', 'JJ')]	True	False
flood	severe	151	[('severe', 'JJ')]	True	False
medical history	clinical	183	[('clinical', 'JJ')]	True	False
x ray photoelectron spectroscopy	analytical	77	[('analytical', 'JJ')]	True	False
coca-cola	large	852	[('large', 'JJ')]	True	False
local authority	external	443	[('external', 'JJ')]	True	False
ionizing radiation	exogenous	40	[('exogenous', 'JJ')]	True	False
scalp	sensitive	195	[('sensitive', 'JJ')]	True	False
shame	emotional	38	[('emotional', 'JJ')]	True	False
letter	personal	635	[('personal', 'JJ')]	True	False
electrolyte	environmental	592	[('environmental', 'JJ')]	True	False
shopping mall	large	852	[('large', 'JJ')]	True	False
amplifier	electronic	281	[('electronic', 'JJ')]	True	False
television set	electronic	281	[('electronic', 'JJ')]	True	False
heart	sensitive	195	[('sensitive', 'JJ')]	True	False
cytotoxic	biological	197	[('biological', 'JJ')]	True	False
o ring	mechanical	187	[('mechanical', 'JJ')]	True	False
particle size distribution	basic	667	[('basic', 'JJ')]	True	False
meat	expensive	62	[('expensive', 'JJ')]	True	False
transcription	biological	197	[('biological', 'JJ')]	True	False
volcanic eruption	natural	709	[('natural', 'JJ')]	True	False
size	clinical	183	[('clinical', 'JJ')]	True	False
x ray photoelectron spectroscopy	electrochemical	15	[('electrochemical', 'JJ')]	True	False
endometriosis	medical	456	[('medical', 'JJ')]	True	False
daily mail	national	122	[('national', 'JJ')]	True	False
pearson	big	266	[('big', 'JJ')]	True	False
browser type	anonymous	10	[('anonymous', 'JJ')]	True	False
telecommunication	traditional	682	[('traditional', 'JJ')]	True	False
stream	topographical	11	[('topographical', 'JJ')]	True	False
aer lingus	international	277	[('international', 'JJ')]	True	False
misspelling	structural	156	[('structural', 'JJ')]	True	False
gene ontology	biological	197	[('biological', 'JJ')]	True	False
plant	physical	686	[('physical', 'JJ')]	True	False
brochure	traditional	682	[('traditional', 'JJ')]	True	False
soybean	edible	49	[('edible', 'JJ')]	True	False
rabbit	domestic	82	[('domestic', 'JJ')]	True	False
tax	political	40	[('political', 'JJ')]	True	False
seventh day adventists	religious	51	[('religious', 'JJ')]	True	False
school	basic	667	[('basic', 'JJ')]	True	False
tax credit	fiscal	10	[('fiscal', 'JJ')]	True	False
corn	heavy	207	[('heavy', 'JJ')]	True	False
fault	structural	156	[('structural', 'JJ')]	True	False
scratch	normal	79	[('normal', 'JJ')]	True	False
watch	sharp	49	[('sharp', 'JJ')]	True	False
privatization	structural	156	[('structural', 'JJ')]	True	False
france	rich	58	[('rich', 'JJ')]	True	False
depression	clinical	183	[('clinical', 'JJ')]	True	False
brain	critical	172	[('critical', 'JJ')]	True	False
trading	commercial	172	[('commercial', 'JJ')]	True	False
suit	formal	60	[('formal', 'JJ')]	True	False
transformer	electrical	163	[('electrical', 'JJ')]	True	False
lorry	large	852	[('large', 'JJ')]	True	False
option	traditional	682	[('traditional', 'JJ')]	True	False
aluminum	single	74	[('single', 'JJ')]	True	False
salt	industrial	201	[('industrial', 'JJ')]	True	False
needle	diabetic	10	[('diabetic', 'JJ')]	True	False
resume	professional	165	[('professional', 'JJ')]	True	False
ammonia	natural	709	[('natural', 'JJ')]	True	False
fish	traditional	682	[('traditional', 'JJ')]	True	False
fair	temporary	54	[('temporary', 'JJ')]	True	False
time pressure	contextual	50	[('contextual', 'JJ')]	True	False
intrusion detection	real	43	[('real', 'JJ')]	True	False
longevity	functional	143	[('functional', 'JJ')]	True	False
age	anonymous	10	[('anonymous', 'JJ')]	True	False
corticosteroids	immunosuppressive	22	[('immunosuppressive', 'JJ')]	True	False
plant color	 green	49	[('green', 'JJ')]	True	False
spaghetti sauces	 red	40	[('red', 'JJ')]	True	False
relaxation technique	psychological	106	[('psychological', 'JJ')]	True	False
credit card number	private	142	[('private', 'JJ')]	True	False
grade	traditional	682	[('traditional', 'JJ')]	True	False
carbon fiber	fibrous	31	[('fibrous', 'JJ')]	True	False
steep slope	physical	686	[('physical', 'JJ')]	True	False
barcode scanner	serial	15	[('serial', 'JJ')]	True	False
wine	social	388	[('social', 'JJ')]	True	False
wallet	valuable	127	[('valuable', 'JJ')]	True	False
pneumothorax	severe	151	[('severe', 'JJ')]	True	False
guava	exotic	119	[('exotic', 'JJ')]	True	False
aluminium	soft	247	[('soft', 'JJ')]	True	False
bobcat	natural	709	[('natural', 'JJ')]	True	False
lesson plan	educational	56	[('educational', 'JJ')]	True	False
anxiety	behavioural	16	[('behavioural', 'JJ')]	True	False
magnetic disk	removable	34	[('removable', 'JJ')]	True	False
property	personal	635	[('personal', 'JJ')]	True	False
telecommunication	professional	165	[('professional', 'JJ')]	True	False
bill	regular	82	[('regular', 'JJ')]	True	False
funding	institutional	48	[('institutional', 'JJ')]	True	False
water bottle	small	653	[('small', 'JJ')]	True	False
amish	religious	51	[('religious', 'JJ')]	True	False
zinc oxide	active	130	[('active', 'JJ')]	True	False
agitation	behavioural	16	[('behavioural', 'JJ')]	True	False
tillage	cultural	99	[('cultural', 'JJ')]	True	False
fluoroquinolone	antimicrobial	33	[('antimicrobial', 'JJ')]	True	False
swap	financial	212	[('financial', 'JJ')]	True	False
messages	crucial	17	[('crucial', 'JJ')]	True	False
lobster	fresh	148	[('fresh', 'JJ')]	True	False
health	social	388	[('social', 'JJ')]	True	False
star	large	852	[('large', 'JJ')]	True	False
string theory	fundamental	87	[('fundamental', 'JJ')]	True	False
weather condition	unforeseen	24	[('unforeseen', 'JJ')]	True	False
blood pressure	physiological	81	[('physiological', 'JJ')]	True	False
magnetic resonance imaging	sophisticated	22	[('sophisticated', 'JJ')]	True	False
location	demographic	126	[('demographic', 'JJ')]	True	False
gdp per capita	economic	142	[('economic', 'JJ')]	True	False
telescope	optical	72	[('optical', 'JJ')]	True	False
headache	negative	109	[('negative', 'JJ')]	True	False
gravity	environmental	592	[('environmental', 'JJ')]	True	False
boyfriend	 individual	182	[('individual', 'JJ')]	True	False
brie	soft	247	[('soft', 'JJ')]	True	False
octane	organic	355	[('organic', 'JJ')]	True	False
smartphone	advanced	233	[('advanced', 'JJ')]	True	False
biking	adventurous	20	[('adventurous', 'JJ')]	True	False
malaysian mammals	 nocturnal	48	[('nocturnal', 'JJ')]	True	False
database	secondary	180	[('secondary', 'JJ')]	True	False
purchase order	financial	212	[('financial', 'JJ')]	True	False
insomnia	negative	109	[('negative', 'JJ')]	True	False
alkalinity	physicochemical	72	[('physicochemical', 'JJ')]	True	False
ford	private	142	[('private', 'JJ')]	True	False
social problems	 social	10	[('social', 'JJ')]	True	False
marina	recreational	163	[('recreational', 'JJ')]	True	False
finite difference	numerical	27	[('numerical', 'JJ')]	True	False
c s lewis	english	18	[('english', 'JJ')]	True	False
electric drill	electric	41	[('electric', 'JJ')]	True	False
wallpaper	flammable	80	[('flammable', 'JJ')]	True	False
diagnosis	clinical	183	[('clinical', 'JJ')]	True	False
retirement account	financial	212	[('financial', 'JJ')]	True	False
heart	complex	256	[('complex', 'JJ')]	True	False
scuba diving	aquatic	90	[('aquatic', 'JJ')]	True	False
eating disorder	behavioral	65	[('behavioral', 'JJ')]	True	False
raw meat	perishable	38	[('perishable', 'JJ')]	True	False
renal failure	systemic	124	[('systemic', 'JJ')]	True	False
construction	technical	122	[('technical', 'JJ')]	True	False
adaptability	soft	247	[('soft', 'JJ')]	True	False
yoga	natural	709	[('natural', 'JJ')]	True	False
travertine	natural	709	[('natural', 'JJ')]	True	False
st. louis	large	852	[('large', 'JJ')]	True	False
cereal	traditional	682	[('traditional', 'JJ')]	True	False
trailer	heavy	207	[('heavy', 'JJ')]	True	False
lake	geographic	34	[('geographic', 'JJ')]	True	False
vcrs	optional	126	[('optional', 'JJ')]	True	False
bank	complex	256	[('complex', 'JJ')]	True	False
banner	promotional	68	[('promotional', 'JJ')]	True	False
wedding	small	653	[('small', 'JJ')]	True	False
social	external	443	[('external', 'JJ')]	True	False
grade	pathological	80	[('pathological', 'JJ')]	True	False
perforation	severe	151	[('severe', 'JJ')]	True	False
bedding	porous	73	[('porous', 'JJ')]	True	False
adaptability	personal	635	[('personal', 'JJ')]	True	False
greenpeace	large	852	[('large', 'JJ')]	True	False
dar es salaam	large	852	[('large', 'JJ')]	True	False
elton john	great	178	[('great', 'JJ')]	True	False
pyruvate	central	37	[('central', 'JJ')]	True	False
north carolina	southern	60	[('southern', 'JJ')]	True	False
coward	 individual	182	[('individual', 'JJ')]	True	False
papaya	large	852	[('large', 'JJ')]	True	False
bonds	 different	40	[('different', 'JJ')]	True	False
cnn	big	266	[('big', 'JJ')]	True	False
broken bone	observable	14	[('observable', 'JJ')]	True	False
lifting	hazardous	102	[('hazardous', 'JJ')]	True	False
drupal	popular	467	[('popular', 'JJ')]	True	False
destroyer	small	653	[('small', 'JJ')]	True	False
sound	nice	15	[('nice', 'JJ')]	True	False
industry	economic	142	[('economic', 'JJ')]	True	False
ip address	critical	172	[('critical', 'JJ')]	True	False
aerobic	strenuous	29	[('strenuous', 'JJ')]	True	False
racism	contemporary	73	[('contemporary', 'JJ')]	True	False
pant	suitable	205	[('suitable', 'JJ')]	True	False
acute	pathological	80	[('pathological', 'JJ')]	True	False
caffeine	legal	102	[('legal', 'JJ')]	True	False
lead	non-ferrous	11	[('non-ferrous', 'JJ')]	True	False
evaporation	environmental	592	[('environmental', 'JJ')]	True	False
pusher	 criminal	32	[('criminal', 'JJ')]	True	False
wall	original	52	[('original', 'JJ')]	True	False
bungee jumping	adventurous	20	[('adventurous', 'JJ')]	True	False
foxes	 omnivorous	35	[('omnivorous', 'JJ')]	True	False
protein	nutritional	48	[('nutritional', 'JJ')]	True	False
office	small	653	[('small', 'JJ')]	True	False
moisture	climatic	36	[('climatic', 'JJ')]	True	False
pool	modern	309	[('modern', 'JJ')]	True	False
ferrari	big	266	[('big', 'JJ')]	True	False
postcard	small	653	[('small', 'JJ')]	True	False
aggression	behavioural	16	[('behavioural', 'JJ')]	True	False
sauerkraut	probiotic	16	[('probiotic', 'JJ')]	True	False
credit default swap	financial	212	[('financial', 'JJ')]	True	False
financial problem	external	443	[('external', 'JJ')]	True	False
age	static	33	[('static', 'JJ')]	True	False
microwave	electrical	163	[('electrical', 'JJ')]	True	False
bridgestone	popular	467	[('popular', 'JJ')]	True	False
ginger	fresh	148	[('fresh', 'JJ')]	True	False
bears	 black	28	[('black', 'JJ')]	True	False
stent	medical	456	[('medical', 'JJ')]	True	False
cot	large	852	[('large', 'JJ')]	True	False
older adult	vulnerable	45	[('vulnerable', 'JJ')]	True	False
pump	optional	126	[('optional', 'JJ')]	True	False
pub	local	332	[('local', 'JJ')]	True	False
wmv	popular	467	[('popular', 'JJ')]	True	False
dubai	middle eastern	13	[('middle', 'JJ'), ('eastern', 'JJ')]	True	False
tile	flat	39	[('flat', 'JJ')]	True	False
hearing aid	medical	456	[('medical', 'JJ')]	True	False
dust mite	airborne	21	[('airborne', 'JJ')]	True	False
rmvb	popular	467	[('popular', 'JJ')]	True	False
cohesion	social	388	[('social', 'JJ')]	True	False
plastic	advanced	233	[('advanced', 'JJ')]	True	False
clothe	physical	686	[('physical', 'JJ')]	True	False
editing	technical	122	[('technical', 'JJ')]	True	False
avon	cosmetic	64	[('cosmetic', 'JJ')]	True	False
austria	european	108	[('european', 'JJ')]	True	False
delamination	visual	96	[('visual', 'JJ')]	True	False
gender	basic	667	[('basic', 'JJ')]	True	False
economic climate	environmental	592	[('environmental', 'JJ')]	True	False
magnetic resonance imaging	common	802	[('common', 'JJ')]	True	False
pulse	agricultural	114	[('agricultural', 'JJ')]	True	False
title	organizational	46	[('organizational', 'JJ')]	True	False
integrity	intangible	43	[('intangible', 'JJ')]	True	False
magento	popular	467	[('popular', 'JJ')]	True	False
singer	famous	126	[('famous', 'JJ')]	True	False
brush	combustible	79	[('combustible', 'JJ')]	True	False
peripheral neuropathy	neurological	68	[('neurological', 'JJ')]	True	False
hydropower	renewable	60	[('renewable', 'JJ')]	True	False
book	big	266	[('big', 'JJ')]	True	False
accident	exceptional	26	[('exceptional', 'JJ')]	True	False
moisture	soluble	36	[('soluble', 'JJ')]	True	False
santiago	large	852	[('large', 'JJ')]	True	False
diabetes	physical	686	[('physical', 'JJ')]	True	False
vegetation	broad	15	[('broad', 'JJ')]	True	False
atmosphere	natural	709	[('natural', 'JJ')]	True	False
cotton	durable	64	[('durable', 'JJ')]	True	False
hs2	prestigious	27	[('prestigious', 'JJ')]	True	False
athlete s foot	cutaneous	10	[('cutaneous', 'JJ')]	True	False
fiberglass	suitable	205	[('suitable', 'JJ')]	True	False
roulette	innovative	31	[('innovative', 'JJ')]	True	False
qualification	demographic	126	[('demographic', 'JJ')]	True	False
smoke	strong	145	[('strong', 'JJ')]	True	False
gpus	heterogeneous	15	[('heterogeneous', 'JJ')]	True	False
piping	ancillary	99	[('ancillary', 'JJ')]	True	False
duckweed	free	99	[('free', 'JJ')]	True	False
purchasing	functional	143	[('functional', 'JJ')]	True	False
photo	social	388	[('social', 'JJ')]	True	False
face	traditional	682	[('traditional', 'JJ')]	True	False
antioxidant	solid	124	[('solid', 'JJ')]	True	False
job satisfaction	traditional	682	[('traditional', 'JJ')]	True	False
badminton	competitive	44	[('competitive', 'JJ')]	True	False
bruise	severe	151	[('severe', 'JJ')]	True	False
respect	social	388	[('social', 'JJ')]	True	False
nisin	natural	709	[('natural', 'JJ')]	True	False
grain variation	natural	709	[('natural', 'JJ')]	True	False
p toluenesulfonic acid	strong	145	[('strong', 'JJ')]	True	False
founder	 individual	182	[('individual', 'JJ')]	True	False
aids	systemic	124	[('systemic', 'JJ')]	True	False
loratadine	oral	110	[('oral', 'JJ')]	True	False
tobacco	illegal	24	[('illegal', 'JJ')]	True	False
peptic ulcer	medical	456	[('medical', 'JJ')]	True	False
itraconazole	oral	110	[('oral', 'JJ')]	True	False
onion	traditional	682	[('traditional', 'JJ')]	True	False
ideality factor	electrical	163	[('electrical', 'JJ')]	True	False
food	free	99	[('free', 'JJ')]	True	False
climatic condition	natural	709	[('natural', 'JJ')]	True	False
helmet	technical	122	[('technical', 'JJ')]	True	False
ion exchange	chromatographic	19	[('chromatographic', 'JJ')]	True	False
goat	feral	10	[('feral', 'JJ')]	True	False
obesity	anatomical	16	[('anatomical', 'JJ')]	True	False
toyota	multinational	53	[('multinational', 'JJ')]	True	False
kitchenaid	popular	467	[('popular', 'JJ')]	True	False
polyamide	organic	355	[('organic', 'JJ')]	True	False
price	macroeconomic	33	[('macroeconomic', 'JJ')]	True	False
jewellery	valuable	127	[('valuable', 'JJ')]	True	False
dried fruit	healthy	115	[('healthy', 'JJ')]	True	False
tea	popular	467	[('popular', 'JJ')]	True	False
labor	productive	10	[('productive', 'JJ')]	True	False
x rays	diagnostic	65	[('diagnostic', 'JJ')]	True	False
ferret	domestic	82	[('domestic', 'JJ')]	True	False
lubricant	conventional	429	[('conventional', 'JJ')]	True	False
clint eastwood	notable	42	[('notable', 'JJ')]	True	False
size	identifiable	13	[('identifiable', 'JJ')]	True	False
survey	analytical	77	[('analytical', 'JJ')]	True	False
digital camera	small	653	[('small', 'JJ')]	True	False
pencil	traditional	682	[('traditional', 'JJ')]	True	False
slave	 individual	182	[('individual', 'JJ')]	True	False
antioxidant	beneficial	42	[('beneficial', 'JJ')]	True	False
training	administrative	93	[('administrative', 'JJ')]	True	False
charity	private	142	[('private', 'JJ')]	True	False
dislocation density	structural	156	[('structural', 'JJ')]	True	False
reading	common	802	[('common', 'JJ')]	True	False
sunflower	edible	49	[('edible', 'JJ')]	True	False
petroleum	industrial	201	[('industrial', 'JJ')]	True	False
java	open	86	[('open', 'JJ')]	True	False
blood pressure	physical	686	[('physical', 'JJ')]	True	False
systemic sclerosis	systemic	124	[('systemic', 'JJ')]	True	False
pregnancy	environmental	592	[('environmental', 'JJ')]	True	False
speeding	risky	20	[('risky', 'JJ')]	True	False
shear modulus	mechanical	187	[('mechanical', 'JJ')]	True	False
policy	secondary	180	[('secondary', 'JJ')]	True	False
rebate	economic	142	[('economic', 'JJ')]	True	False
sculpture	real	43	[('real', 'JJ')]	True	False
conservation reserve program	federal	114	[('federal', 'JJ')]	True	False
parkinson s	neurodegenerative	22	[('neurodegenerative', 'JJ')]	True	False
blackmailer	 criminal	32	[('criminal', 'JJ')]	True	False
shampoo	basic	667	[('basic', 'JJ')]	True	False
point	spatial	23	[('spatial', 'JJ')]	True	False
laboratory	diagnostic	65	[('diagnostic', 'JJ')]	True	False
diary	personal	635	[('personal', 'JJ')]	True	False
stockholm	european	108	[('european', 'JJ')]	True	False
anemia	systemic	124	[('systemic', 'JJ')]	True	False
bass	musical	86	[('musical', 'JJ')]	True	False
jojoba	essential	297	[('essential', 'JJ')]	True	False
weather	basic	667	[('basic', 'JJ')]	True	False
electronic game	personal	635	[('personal', 'JJ')]	True	False
seattle	american	86	[('american', 'JJ')]	True	False
osteoporosis	serious	276	[('serious', 'JJ')]	True	False
computer	electronic	281	[('electronic', 'JJ')]	True	False
cooking	physical	686	[('physical', 'JJ')]	True	False
utilitarianism	ethical	26	[('ethical', 'JJ')]	True	False
coloring agent	ordinary	32	[('ordinary', 'JJ')]	True	False
cvd	suitable	205	[('suitable', 'JJ')]	True	False
memory	basic	667	[('basic', 'JJ')]	True	False
radiotherapy	traditional	682	[('traditional', 'JJ')]	True	False
statistic	conventional	429	[('conventional', 'JJ')]	True	False
toluene	suitable	205	[('suitable', 'JJ')]	True	False
confusion	behavioral	65	[('behavioral', 'JJ')]	True	False
pregnancy	physical	686	[('physical', 'JJ')]	True	False
nitric oxide	local	332	[('local', 'JJ')]	True	False
scheduling	administrative	93	[('administrative', 'JJ')]	True	False
birds	 edible	19	[('edible', 'JJ')]	True	False
representative	 individual	182	[('individual', 'JJ')]	True	False
engineer	traditional	682	[('traditional', 'JJ')]	True	False
naphthalene	aromatic	59	[('aromatic', 'JJ')]	True	False
snorkeling	recreational	163	[('recreational', 'JJ')]	True	False
opening hour	detailed	63	[('detailed', 'JJ')]	True	False
endocytosis	cellular	81	[('cellular', 'JJ')]	True	False
hypertension	pathological	80	[('pathological', 'JJ')]	True	False
pay	extrinsic	42	[('extrinsic', 'JJ')]	True	False
hospital bed	durable	64	[('durable', 'JJ')]	True	False
chronic fatigue syndrome	medical	456	[('medical', 'JJ')]	True	False
temperature	unstable	14	[('unstable', 'JJ')]	True	False
time management	transferable	34	[('transferable', 'JJ')]	True	False
berry	fresh	148	[('fresh', 'JJ')]	True	False
cricket	large	852	[('large', 'JJ')]	True	False
preview	advanced	233	[('advanced', 'JJ')]	True	False
naphthalene	low	51	[('low', 'JJ')]	True	False
hair dryer	small	653	[('small', 'JJ')]	True	False
physical inactivity	traditional	682	[('traditional', 'JJ')]	True	False
picnic table	basic	667	[('basic', 'JJ')]	True	False
flower buds	 edible	19	[('edible', 'JJ')]	True	False
empathy	social	388	[('social', 'JJ')]	True	False
