animals	animal species,megaherbivores,wide ranging benthivores,large bodied taxa
have propellers	small aircraft,large aircraft,wide body aircraft,wide bodied aircraft,lighter than air or rotary wing aircraft,aerodynamic aircraft,narrow body aircraft,small craft,rotary wing aircraft,small fast plane
have wheels	simple vehicle,single track vehicle,scooter a two axled vehicle,oversized vehicle,popular vehicle,motorized vehicle,modern vehicle
have wings	flying types,flying animal,fly,non flying bird,flying vertebrate,giant flightless form,flying object,flightless bird
capable of crashs	mean of transportation,featuring advanced aerodynamic design measure,featuring sophisticated aerodynamic design measure,mean of transport,perform high speed stunt,oversized vehicle,nonaqueous vehicle,simple vehicle,interactive new vehicle
capable of near airports	mean of transportation,perform high speed stunt,in flight passenger service,mean of public transport,largercarriers
part of patents	patent,u s patent,united state patent,aspect of patent practice
summaries	summary information,summarization technique,written material,summarization objective
inaction	inactivity,temporary absence,discontinuity,withdrawal,physical discontinuity,immobilization
self discipline	self care,self care and practical skill,self care behavior,self management skill,professional attitude,self care skill,moral virtue,competence,emotional competency
preoccupation	self conscious emotion,curiosity,self-conscious emotion,social emotion,innate desire,reactive emotion,mental attitude,complex social emotion,repressed feeling
wounds	superficial wound,minor wound,skin wound
injuries	physical injury,common injury,personal injury,minor injury,serious injury,painful injury,unintentional injury,superficial injury
materials	type of material,high quantity material,superior material,physical material,basic material
illnesses	medical illness,secondary illness,physical illness,common illness,temporary illness,minor illness,simple illness,serious illness
symptoms	neurological manifestation,common neurological manifestation,mild manifestation
chemical compounds	organochlorine compound,cationic compound,azole compound,azo compound,volatile amine,sulfonic acid compound,organohalogen compound,diamidine compound,cyanide compound
plant hormones	anabolic hormone,calciotropic hormone,natriuretic hormone,synthetic hormone,environmental estrogen
lack	absence,inaccuracy,inconsistency,kind of structural incompleteness,abstract loss,inefficiency,vacancy,insufficiency,perceived physical limitation,condition
time intervals	interval,time,time frame,time characteristic,abstract time,regular interval,long interval,time difference,timeframe
ballots	preferential voting system,voting booth component,election,runoff voting rule,voting algorithm,potential voting right,poll,positive checks,photo identity proof,card scheme
travelers	winter visitor,holidaymakers,nonimmigrants,ecotourists,adventurous visitor,visitor
bsence	thefundmaybeunabletosellcertainsecurities,acessories,accomodation,externality
magnitudes	macroscopic quantity,ordinal quantity,quantity,physical quantity,scalar quantity,scalar physical quantity,dynamical quantity
sorption	chemical change,physico chemical change,ultrastructural alteration,chemical effect,colloidal dispersion,microelement,phase change,sublethal effect,non physical change,mild alteration
natural processes	physical and chemical process,dynamic process,physical process
part of extinction	gradual cause,catastrophic consequence,temporal change,order aberration,biological change,haemodynamic change,evolutionary event,chemical change,aspect of climate change
monarchies	hierarchic aristocracy,long lasting kingdom,kingdom,theocratic government,empire,dynasty
norms	social norm,stringent specification,stringent criterion,moral rule,legal principle,moral law,regulation requirement,formal rule,relational norm
abstraction	modern abstraction,high level abstraction,mental abstraction
conditions	external condition,surrounding condition,material condition,ambient condition,environment condition,variable condition,constant condition
part of penance	sacramental act,extra sacramental penitential work,ritual duty,religious duty,priestly duty,religious ritual,religious ceremony,christian ritual,religious initiatory ritual,christian duty
redemptions	recovery,baptism,sacramental act,finality,restoration,saving
dominance	dominion,social rule,cultural control,dependency,institutional control,leadership style,peer culture preference,bureaucratic control,external governance rule,social preference
sorbents	solid sorbent,typical sorbent,sorbent material,oilseed material,sorbent particulate material,low cost sorbent
absorbent materials	suitable absorbent material,inert absorbent material,absorbent or porous material,absorbable material,disposable absorbent material,porous or absorbent material,absorbent composition,absorbent product
scholars	experts,modern scholar,egyptologists
educators	noncertified educator,area educator,professionals,teacher,school personnel
doctors	medical doctor,physician,medical specialist,clinical specialist,clinician,medical practitioner
concepts	abstract concept,notion,semantic concept,basic concept,abstract idea,conceptual idea,fundamental semantic concept,fundamental concept,physical concept
entities	named entity,abstract entity,physical entity,pass through entity,being,complex entity,unconnected entity,variable entity
paintings	historic painting,historical painting,artwork,famous painting
removals	removal process,removal technique,material removal process,removal mechanism,extracorporeal removal technique,electrochemical removal process,mechanical removal method,separation process,external modification
folly	unsportsmanlike behavior,dishonesty,dishonest behavior,unsportsmanlike conduct,negligent human behavior
nonsense	useless comment,inappropriate language,funny stuff,derogatory information,degrading comment,derogatory remark
quantities	physical quantity,mechanical quantity,layer physical quantity,ordinal quantity,macroscopic quantity
ratios	ratio measure,accounting ratio,coefficient,proportion datum,density independent factor,liquidity ratio,macroscopic quantity,percentage
situations	circumstance,predefined situation,physical situation,external circumstance,real situation,everyday situation,personal circumstance,social circumstance,simple circumstance
disrespect	contempt,insult,dishonesty,hostility
wrongdoers	debonders,false leaders,criminals counter measure activity,manipulatives
points	datum point,positive point,latitude,feature point,reference position,endpoint,location,reference distance,orthogonal moment
support	material support,solid support,strong support,mechanical support,support utility,lateral support,support method,support mechanism,natural support
legumes	forage legume,crop legume,food legume,grain legume,deep rooted legume,legume crop,dried legume,tropical legume,legume cover crop
trees	tree species,understory tree,conifer tree,coniferous tree
woody plants	woody herb,woody crop,basal plant,ground cover plant,emergent plant,leafy plant
worlds	realm,part of the world,real world domain,real domain,virtual world,planet,galaxy,inner planet,massive corpora
administrators	administrator's title,school administrator,administrative position,executive officer,high level manager,custodian
departments	organizational department,corporate department,administrative department,localized department
freedom	basic freedom,liberty,civil liberty,privilege,fundamental right,constitutional right,legal right
educational programs	educational programming,educational material,educational service
researchers	research scientist,morphologists,experts,egyptologists
skilled workers	craftworkers,skilled trade worker,skilled laborer
specialists	bact eriologists,morphologists,clinical specialist,clinical professional,medical specialist,clinician,medical scientist,medical professional
businesspersons	business owner,business professional,service business owner
accountants	financial professional,third party auditor,analyst,private analyst,tax professional
professionals	professional personnel,experts,professional person,professional worker,industry professional,seasoned professional,skilled professional,professional staff
office workers	non employees,front office staff,professional personnel,professional staff
located in firms	coordinate and direct office service,operated office equipment,professional staff,basic office function,front office staff,business tool,business equipment,office equipment
desire balance	practice healthy habit,abandon negative thought and behaviors,practice abnormal eating behavior,experience managing function
increases	expansion,physical change,efficiency gain,change
acquisitions	asset sale,acquisition scheme,capital purchase,purchase,acquisition process,real estate transaction
agreement	formal agreement,explicit agreement,binding agreement,legal agreement,contractual agreement,bilateral agreement
property rights	industrial property right,title property,proprietary right,property,equitable title,entitlement
rights	property right,proprietary right,legal right,entitlement,equitable title,constitutional right,privilege,unalienable right,civil right,industrial property right
pproachs	dmards,beenshownthattheadditionofstressfulelements,dmard,fe atures,ev ent,ssos,mca sale great benefit,ifis,bpl s eresources,conclusion traffic related hap
companies	giant company,global company,big name company,billion dollar company,notable company,respected company,iconic company,competitive company
herbs	herb plant,aromatic herb,astringent herb
plants	plant species,herbaceous plant,cultivated plant,natural plant,nonvascular plant,epiphytic plant,common plant,oilseed plant,companion plant
rates	rate stat,derivative rate,benchmark rate,speed,rate indicator,market rate,velocity metric,vital rate
speed	rate,velocity metric,gait parameter,temporal gait parameter
located in vehicles	mechanical part of the vehicle,interior and exterior automobile component,vehicle component,in car application,vehicle part,automobile component,automobile related item,vehicle feature,standard vehicle equipment
part of airplanes	aircraft component,aircraft structure,aircraft equipment,airplane subsystem assembly,vehicle part,case aerodynamic part,aerodynamic body component,aircraft subsystem assembly,composite aircraft structure
part of cars	automotive part,vehicle part,interior and exterior automobile component,automobile component,car part
part of fuel systems	part of the fuel system,fuel system component,combustion equipment,part of the exhaust system,lp gas equipment,refrigeration component,fuel source,gas system,combustion source
pedals	motor feature,motorized self balancing device,second motor
used for speed	speed,mean of transport,mean of transportation,form of propulsion,method of transportation,form of transportation,non propel drive,motorized equipment,full acceleration,mean of public transport
valves	pressure control valve,pressure relief valve,check valve,one way valve,rotary valve,linear motion valve,3 way valve
gauges	barometer,meter,measurement system,measurement equipment,measurement instrument,measurement device,precision measuring equipment,single function meter,tonometer
products	fram product,product name,high end product,consumer product,corporation s product
transducers	ratiometric transducer,transceiver,electromagnetic transducer,transducer type
programming language	modern programming language,functional programming language,high level programming language,strictly functional programming language,aspect oriented programming language,level programming language,dynamic programming language,aspect programming language,object oriented programming language
pronunciation	language technique,linguistic expression,aspect of language usage,language feature,language skill,form of language,linguistic phenomenon,wording,linguistic aspect,non linguistic vocalization
cknowledgment	declaration,statement,datum request
cquisitions	state transfer,debt arrangement,certainconventions,state allotment,interfund transaction,lease modification,contractual arrangement,disbursement,pretreatment
drafts	withdrawls,disturbance process,soil disturbance,process outfall
code	machine readable code,non printable code,production code,code feature,code artifact,error correction code,codecs,variable length code,codec
roads	roadway,public road,local road
parts	component part,part component,integral part,portion,movable part
happening	naturally occurring event,occurrence,physical event,external event,discrete event,random event,emergent event
located in envelopes	plain envelope bearing nothing,envelope component,on the day stationery,personal paper,stationery item,personal correspondence,fax large document,non plain text attachment,mail,printed item
located in drawers	drawer accessory,small personal item,personal and household item,personal item
located in junk mail	plain envelope bearing nothing,personal correspondence,e mail drop folder,mail,non plain text attachment,personal paper,email information,on the day stationery,scrapbooking material,non print item
located in offices	typical office equipment,office equipment,basic office equipment,standard office equipment,office tool,modern office equipment,operated office equipment,physical office tool
located in parcels	in kind item,parcel,small goods,non-cash item,non cash item,in stock product,high-value item,personal property item
located in printers	printer medium,printing material,print source,printed medium,print material,printing medium,printed material,printer accessory,print medium,printer feature
located in trash	trash,trash item,personal waste item,discarded material,food related trash item
clothing	clothes,women s clothing,outer clothing,clothing material,suitable clothing,essential clothing,abbreviated clothing,form fitting clothing,comfortable clothing
components	part component,component part,likewise component,component system,unit component,component type
criminals	criminals counter measure activity,street criminal,felon,notorious criminal,offender,famous criminal,bootlegging gang,prison gang,dangerous offender
capable of slow traffic	delay sensitive traffic,real time delay sensitive traffic,mean of traffic control,aggressive driving,traffic condition,non critical traffic
located in roadblock	roadblock,automatic traffic enforcement equipment,delay sensitive traffic,mean of traffic control,roadside obstacle,non traditional security threat,security threat,non-traditional security threat,road hazard,traffic management issue
mishap	accident,mishap situation,fiasco,minor accident,unforeseen accident,minor incident,minor misalignment,device failure,serious accident,complex accident
mistakes	error,careless error,systematic error
physical events	external event,skeletal related event,naturally occurring event,stochastic event
musical notation	notation,simple notation,music notation program,graphical notation,notation program
daptation	datum transformation,optimisation,planarization,simplification,homogenization,rearrangement,charmmapplications,datum modification
id	ids es,identi fiers,dmards,colligative property
lteration	process intensification concept,adr process,rtis,workersinvolvedintheproductionofresidentialservices,natural attenuation process,thefundmaybeunabletosellcertainsecurities,financialrisks,non adaptive process
helpings	food offering,donation,offering,rim offering,in-kind donation,contribution,food reward
located in inns	hotel accommodation offer facility,hotel amenity,guest room amenity,offer clubhouse amenity,standard hotel convenience,top quality inn
located in motels	standard hotel convenience,hotel accommodation offer facility,guest room amenity,hotel service,customary hotel service
located in theaters	theater,theatrical element,large theater,theatrical effect,aspect of theatrical production
settlements	form of non rural settlement,residential community,settler colony
used for comfort	creature comforts,home style comfort,homely comfort,soft fluffy bedding,soft bedding,comfort item
used for showers	bath supply,bathroom supply,basic bath amenity,wet room
used for sleep	bed,bedding,sleepwear,soft fluffy bedding
used for sleeping	bed,bedding,big brand bed
used for stays	bed,hotel accommodation offer facility,good overnight accommodation,guest room amenity,bedding,home style comfort,hotel amenity,sleep clothing
musicians	professional musician,music performer,classical musician,folk musician,musical performer,pianist,musical luminary,musical artist,jazz writers
ctions	compensatory behavior,consummatory behavior,coroner direct activity,human action
business people	business professional,business leader,business owner,professionals,financier,senior management,corporate indicaters
managers	high level manager,top level manager,senior management,senior manager,non employees,professional personnel,senior executive,key personnel,department manager
giving	material donation,in kind donation,in-kind contribution
accordions	chordophone,acoustic stringed instrument,folk instrument,string instrument,stringed instrument,bowed string instrument,stringed musical instrument
instruments	conventional instrument,normal instrument,actual working instrument,short term instrument,small instrument,modern instrument,nonderivative instrument
located in bands	mixed instruments,playing characteristic,band instrument,musical instrument,music device,music instrument,music source,music gear,musical element,non musical device
located in music stores	music device,music source,music gear
musical instruments	music instrument,traditional musical instrument,small musical instrument
used for fun	fun activity,fun filled activity,fun,popular amusement,active form of amusement,round recreational activity,offer diversion,recreational activity,common recreational activity,old fashioned summertime fun
used for music	music instrument,musical instrument,elaborate and distinctive musical instrument,music device,traditional musical instrument,small musical instrument,mixed instruments,lower pitched orchestral instrument,electronic musical instrument
used for polka music	musical instrument,percussion instrument,music instrument,small musical instrument,traditional musical instrument,keyboard percussion instrument,musical activity,rhythm instrument,elaborate and distinctive musical instrument
have keyboards	keyboard,compact keyboard,chorded keyboard,portable music system,third party keyboard,small portable electronic
accounts	financial account,commercial account,balance sheet account,customer account,account type,bank account,escrow account,account item
financial arrangements	debt arrangement,credit arrangement,financial function,investment structure,investment arrangement
importance	credence attribute,fundamental value,intrinsic value
profit	earnings,income,revenue,profitability measure,business cost,trading cost
relationships	personal relationship,social relationship,long term relationship,intimate relationship,financial relationship,mutual relationship,close relationship
statements	declaration,deduction statement,assertion,simple statement,compound statement,vague statement,dcl statement
have dollars	form of money,dollar store,real money,fake currency,cash,money,non-cash item,cash item,cash instrument,money market instrument
responsibility	pa responsibility,complex responsibility,key responsibility,life responsibility,front end responsibility,professional responsibility,human resource management responsibility,family responsibility,customer care responsibility
inheritances	family possession,inheritance pattern,acquisition,title property,entitlement,form of ownership,property,possession,property right,family function
ddition	complex behavior,complex general behavior,mental production
greement	religious obligation,eternal truth,christian moral value
compatibility	cross species relationship,mutual relationship,affiliation
business software	enterprise software,popular enterprise software,project management software,application software,enterprise software application,management software,third party software,productivity software
financial programs	personal finance program,investment program,finance package,accounting program,credit management model,government credit program,financial assistance instrument,automatic spending program,financial planning tool
explanations	simple explanation,potential explanation,traditional textbook explanation,traditional explanation,clarification,deduction,justification,formulation approach,derivation
registers	register file,registry,register setting,inventory,service registry,accounting record,recorder information,record source
systems	physical system,system concept,complex system,real system,part of the system
certifications	industry certification,basic certification,third party certification,quality certification,certification mechanism,professional certification
credentials	certification,qualification,credential property,official qualification,basic certification,formal qualification,professional certification,qualification statement,qualification documentation
accounting	accounting function,basic accounting function,common accounting function,accounting activity,management accounting technique,financial accounting concept,routine accounting activity
antihypertensive	anti epileptic,sedating antihistamine,sedating antidepressant,anti hypertensive agent,antitussive,anticholinergic and antispasmodic medicine,antihypertensive agent,non steroidal anti inflammatory medicine,non steroidal anti inflammatory
content	content element,dynamic content,content type,type of content,content word
education	formal education,level education,education activity,education related activity,education course,post secondary education,teaching activity,aspect of education,structured educational activity
net incomes	variable income,type of income,income
virtue	personal virtue,moral virtue,christian virtue,moral quality,moral attribute,moral value,ethical value
assertions	truthful claim,statement,claim,deduction statement,proposition
capable of shade results	light housework,shade,outside lighting,pre built shader,light shade
charge	monetary charge,ancillary charge,custom charge,statutory charge,financial charge,extraneous charge,personal charge,supplementary charge
drugs	drugs of abuse,narcotic drug,common drug,narcotic medication,antithyroid drug,chemical drug
compounds	complicated compound,simple compound,secondary compound,chemical constituent,molecular compound,basic compound,chemical substance,ii vi compound,multifunctional compound
liquids	simple liquid,concentrated liquid,suitable liquid,ordinary liquid,pure liquid
fun	fun activity,fun filled activity,fun event,old fashioned summertime fun,educational and fun activity,fun element,kind of entertainment,popular amusement,fun situation
located in chemistry labs	chemistry analyte,common laboratory equipment,type of laboratory equipment,laboratory equipment,liquid crystal apparatus,solid state electrochemical device,chemistry basic,electrochemical device,catalytic material
located in stomachs	stomach issue,mucus forming food,digestive organ,stomach symptom,stomach ailment,mean of ingestion,stomach problem,mucus producing food,scrumptious puds
chemicals	chemical substance,chemical agent,chemical product,petro chemical,chemical activator,secondary chemical
organic compounds	complex organic compound,organic peroxy compound,synthetic organic compound,endogenous organic compound,non polar organic compound
salt	mineral salt,common salt,simple salt,alkali salt,natural salt,solid salt
carboxylic acid	dicarboxylic acid,hydrocarboxylic acid,monocarboxylic acid,polycarboxylic acid,oxycarboxylic acid,hydroxycarboxylic acid,aliphatic carboxylic acid
anhydrides	trianhydrides,mixed acid anhydride,acid anhydride
ketones	aliphatic ketone,ketocarotenoids,ketolides,aromatic ketone
solvent	chemical solvent,liquid solvent,physical solvent,aqueous solvent
toxic substances	toxicants,toxic compound,toxic agent,toxic chemical,toxicant,toxic industrial chemical,persistent toxic chemical,toxic metabolite
neurotransmitters	excitatory neurotransmitter,classical neurotransmitter,brain neurotransmitter,modulatory neurotransmitter,small molecule neurotransmitter
gases	monatomic gas,inert gas,nonreactive gas,gaseous chemical,inert diluent gas,reactant gas,inert carrier gas,compressible gas,material gas
hydrocarbons	non hydrocarbons,hydrofluorocarbon,saturated hydrocarbon,poly halohydrocarbons,cyclic hydrocarbon,light hydrocarbon,halohydrocarbon,inert hydrocarbon
discomfort	physical discomfort,minor discomfort,temporary discomfort,mental discomfort,muscular discomfort
pain	physical pain,pain sensation,maladaptive pain,minor pain,nerve pain
fruit	tree fruit,seasonal fruit,common fruit,tender fruit,soft fruit,small fruit,ripe fruit
rocks	metamorphic rock,igneous rock,sedimentary rock,foliated metamorphic rock,metasedimentary rock,natural compact rock,porous rock
genetic diseases	human genetic disease,hematopoietic genetic disease,human genetic disorder,inherited disease,genetic disorder,single gene disease,complex polygenic disease,hereditary disease,polyq disease
cid precipitation	precipitation,precipitation characteristic,ghg,form of precipitation,excess moisture,hydrosol
ir pollution	pollutant emission,type of pollution,pollution,environmental air pollution,form of pollution,air pollution,harmful emission,environmental pollution,greenhouse gas emission,ghg emission
rain	precipitation,form of precipitation,rainfall characteristic,precipitation characteristic,tropical rain system,inclement weather,storm
part of play	play function,theatrical element,play feature,drama lesson,play style,dramatic theme
performance	performance event,performance aspect,fascinating performance
part of operas	theatrical element,opera production,dramatic work,dramatic theme,opera
part of ballet	classical ballet,dance form,popular ballet title,ballet,theatrical folk dance,classical dance,age old dance forms
defined as proceeds	action,act,simple action,single action,discrete act,real life action,effective reward,intended movement,human action
drama	modern drama,good drama,dramatic work,drama process,sung drama,dramatic programming,medical drama,comedy,drama technique
events	physical event,firm specific event,external event,everyday event,literal event,key event
expression	human expression,non verbal expression,symbolic expression,contrived expression,emotional expression,part of an expression,practical expression,expression construct,complicated expression
legal documents	legal documentation,court document,legal form,real estate legal document,legal text
located in trees	large woody debris,tree material,woody material,feature natural wood characteristic,non woody material,part of the tree,woody vegetation,tree feature,form of vegetation,non vegetative material
located in forests	feature natural wood characteristic,dead vegetation,forest characteristic,forest type,form of vegetation,forest resource,woody vegetation,emergent vegetation
located in ground	dirt,small debris,large woody debris,buried debris,soft ground,loose debris,ground object
located in roofs	roof surface,roof material,roofing material
nuts	true nut,organic nut,dry nut,tree nut,nutsnuts
part of oak	part of the tree,fruit wood,wood feature,oak tree,trunk,tree characteristic,wood characteristic,preciou wood,dense wood
seeds	edible seed,herb seed,legume seed
have seeds	edible seed,bear fruit,small whole fruit,large seed,small fruit,dry or light fruit,small seed,large fruit
sour	concentrated sweet,bitter,savory confit,scrumptious flavor,sweet stuff,sour food,bitter green,strong flavor,heavy or sour fruit
pathology	human pathology,ocular pathology,ibd pathology,vascular pathology,serious pathology,scrd associated pathology,skeletal pathology
goals	conventional goal,local goal,intermediate term goal,short term goal,conscious goal,technical goal
messages	personal message,datum message,active message,generic message,rrc message
located in bathrooms	personal bathroom item,bathroom hardware,bathroom supply,toileting equipment,unattractive bathroom accessory,toilet item
located in cupboards	in ground container,pantry goods,pantry item,basic pantry item,kitchen item
located in drug stores	generic haptic device,common pharmaceutical carrier,medical product,sometimes prescription medicine,over the counter pain medicine,over the counter pain reliever,over the counter medicine,antiseptic cleanser
located in drugstores	small toiletry,toiletry item,personal toiletry item,personal toiletry,common pharmaceutical carrier,personal care toiletry,injectables
located in pharmacies	pharmacists workplaces characteristic,medical product,generic haptic device,therapeutic tool,healthcare specific product,pharmaceutical delivery device,over the counter pain medicine
located in tubes	small analyte,functional fluid,surgically sterile liquid,sensitive biological material,catheter material,analytes,modern pharmaceutical nanocarriers,injectables,electrolytic device
medicine	biological medicine,counter medicine,nonprescription medicine
used for teenagers	kids activity,students extracurricular activity,after-school activity,children's activity
bacterial infection	secondary bacterial infection,mycobacterial infection,enteric infection
inflammatory diseases	high grade inflammatory disease,untreated inflammatory disease,inflammatory disorder
skin diseases	common skin disease,chronic skin disease,occupational skin disease,inflammatory skin disease
clergymans	christian cleric,cleric,church fathers,episcopalian minister
part of acorn squash	winter squash variety,summer squash,squash,winter squash,legume seed,herb seed,vegetable seed,fruit seed,edible seed
