hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
epistemology,investigating,philosophy,inquiry,investigation,research,,,,,,,,,,
self-justification,claim,justification,technical specification,explanation,asseveration,declaration,defence in law,response,string of words,assertion,state,pleading,logic,answer,
declaration,written document,evidence,,,,,,,,,,,,,
consultant,person,,,,,,,,,,,,,,
pressing,push,actuation,pushing,,,,,,,,,,,,
edger,firm,record label,division,brand,signaling,mark,garden tool,marking,trademark,label,shaper,needleworker,name brand,,
termination,terminal,written record,finish,end,conclusion,written account,ending,point in time,,,,,,,
German mark,monetary unit,,,,,,,,,,,,,,
grit,courageousness,stone,guts,moral philosophy,rock,pebble,natural phenomenon,braveness,bravery,,,,,,
nuclear war,warfare,military action,war,,,,,,,,,,,,
world,serial publication,cerebration,curiosity,wonder,,,,,,,,,,,
particle,part of speech,grammatical category,,,,,,,,,,,,,
verbal abuse,offence,abuse,offensive activity,ill-usage,offense,,,,,,,,,,
expiration date,time period,period of time,,,,,,,,,,,,,
power,phenomenon,physical property,chance,quantitative relation,operator,physical phenomenon,observable,strength,probality,person,man of affairs,dimensionless quantity,,,
racoon,aboriginal,mammal,carnivore,procyonid,animal,,,,,,,,,,
thiocyanate,crystal,salt,,,,,,,,,,,,,
curling,sport,olympic sports,group event,team sport,type of sport,winter sport,competition,,,,,,,,
camelpox,disorder,illness,animal disease,disease,sickness,,,,,,,,,,
psychopathology,medical research,psychology,learned profession,enquiry,psychological science,inquiry,bioscience,investigation,branch of science,applied science,investigating,medicine,medical specialty,history of medicine,practice of medicine
indisposition,disorder,illness,pathological state,disease,sickness,,,,,,,,,,
darkey,black person,black people,person of color,negro,person,race,black,person of colour,negroid,,,,,,
grass,plant,street drug,aromatic plant,controlled substance,herb,drug,narcotic,drug of abuse,soft drug,herbaceous plant,,,,,
fils,monetary unit,subunit,,,,,,,,,,,,,
general,warrior,war,military branch,combat,military rank,boss,military man,battle,post,commissioned officer,armed forces,warfare,person,chief,fight
graduate,person,scholarly person,student,scholar,,,,,,,,,,,
pool,poker,investment fund,net earnings,poker game,competition,olympic sports,net profit,net income,body of water,sport,investment,assets,profit,billards,athlete
dollar,money circulation,government note,bank note,banknote,debt instrument,monetary unit,paper money,bill,currency sign,folding money,note,paper currency,legal tender,money,tender
natural gas,phenomenon,gas,chemical phenomenon,energy carrier,gaseous state,existence,natural phenomenon,,,,,,,,
program,engineering science,picture,medium,ad,figure,show,flyer,promotional material,visual communication,social event,diagram,engineering,portraying,advertisement,graphics
emery cloth,abrasive,benefactor,advert,person,abrasive material,sponsor,,,,,,,,,
fat,organic solvent,technical specification,lipoid,animal tissue,lipid,medium,supermolecule,resolvent,macromolecule,,,,,,
puzzler,question,problems,,,,,,,,,,,,,
capillary,cylinder,vasculature,closed circulatory system,tube,body structure,anatomical structure,vascular system,body part,bodily structure,vessel,tubing,plane figure,technology,blood supply,
condition,comment,indicator,technical specification,reference,mention,good health,grammatical relation,understanding,specifications,written document,written agreement,commentary,reference point,annotation,
heaven,imaginary place,,,,,,,,,,,,,,
subsoil,soil,granular material,dirt,,,,,,,,,,,,
feudatory,follower,person,,,,,,,,,,,,,
phonics,teaching reading,,,,,,,,,,,,,,
small,lexical class,form class,body part,adjective,word class,size,,,,,,,,,
dexterity,skillfulness,,,,,,,,,,,,,,
fence,merchant,obstruction,,,,,,,,,,,,,
zero,grammatical category,decimal digit,imaginary,natural number,complex quantity,complex number,numerical quantity,imaginary number,counting number,natural numbers,whole number,,,,
subspecies,population,,,,,,,,,,,,,,
investment,possession,financing,tegument,finance,protection,connective tissue,assets,,,,,,,,
birdwatching,zoology,observation,zoological science,,,,,,,,,,,,
perfidiousness,prevarication,lie,falsehood,untruth,disloyalty,falsity,unfaithfulness,,,,,,,,
dirt,body waste,junk,garbage,granular material,sanitary condition,poo,report,defaecation,uncleanness,shit,dirtiness,waste matter,refuse,trash,crap
quoit,equipment,game equipment,,,,,,,,,,,,,
Amoy,chinese language,chinese,language,logical calculus,human language,natural language,,,,,,,,,
seafloor,natural depression,type of sport,depression,bottom,,,,,,,,,,,
gigahertz,unit of measure,magnitude,,,,,,,,,,,,,
tragedy,drama,misfortune,trouble,,,,,,,,,,,,
weather forecasting,forecasting,prediction,foretelling,,,,,,,,,,,,
phonetic transcription,written language,written communication,written text,transcription,,,,,,,,,,,
striatum,body structure,neural structure,brain,body part,nucleus,anatomical structure,bodily structure,,,,,,,,
leveling,destruction,,,,,,,,,,,,,,
Harmonia axyridis,coleopteran,insect,beetle,beetles,,,,,,,,,,,
airport,airfield,landing field,,,,,,,,,,,,,
glycogen synthase,glucosyltransferase,supermolecule,glycosyltransferase,,,,,,,,,,,,
clastic,stone,facies,pebble,,,,,,,,,,,,
Yapese,human language,language,,,,,,,,,,,,,
full stop,mensuration,punctuation mark,mark,signaling,measurement,sign,,,,,,,,,
sugar-cane,poaceae,grass family,gramineae,herb,tracheophyte,plant,,,,,,,,,
transit,transportation,travel,move,passenger transport,traveling,travelling,transport,movement,,,,,,,
Abutilon theophrasti,plant,perennial,annual plant,,,,,,,,,,,,
S4,band,musical group,,,,,,,,,,,,,
regiment,army unit,military group,military force,military organization,,,,,,,,,,,
jerkin,outerwear,overgarment,coat,jacket,outer garment,clothing,clothes,,,,,,,,
cowpox,illness,lesion,pox,sickness,skin disorder,excoriation,infection,skin disease,acne vulgaris,bleb,pustule,blister,contagion,cutaneous disease,communicable disease
supermajority,relative majority,pure mathematics,area of mathematics,,,,,,,,,,,,
interception,interference,snatch,touching,physical intimacy,hindrance,grab,hinderance,,,,,,,,
pollock,fish anatomy,biological group,marine ecology,bony fish,seafood,sea creature,terminologist,animal,fish,marine creature,saltwater fish,,,,
teleconference,conference,auditory communication,discussion,spoken communication,oral communication,group discussion,speech communication,,,,,,,,
hegemony,political system,form of government,,,,,,,,,,,,,
chestnut,edible nut,brown,plant,color term,nut,angiosperm,woody plant,seed,renewable resource,natural resources,horsie,perennial,sapwood,primary color,plant substance
quickening,specifications,hurrying,speed,speeding,,,,,,,,,,,
indenture,point of reference,form,concave shape,agreement,contract,understanding,written agreement,blank space,,,,,,,
instrumental,musical work,work of art,composition,,,,,,,,,,,,
finalization,culmination,completion,closing,conclusion,termination,,,,,,,,,,
flak,criticism,weapon,advocate,gun,disapproval,person,weapon system,,,,,,,,
voltage divider,electrical element,circuitry,electronic circuit,electrical device,electronic equipment,electrical resistance,equipment,electronic component,electrical conductance,,,,,,
stationmaster,chief,boss,master,leader,employer,,,,,,,,,,
counterclaim,proceedings,legal action,action at law,transmission channel,due process,legal proceedings,legal proceeding,,,,,,,,
thread,cord,thought process,rib,,,,,,,,,,,,
recall,remembering,memory,cassation,signal,order of succession,abrogation,annulment,call,signaling,representational process,,,,,
coalition,political organization,protocol,technical specification,executive,committee,union,conjugation,uniting,party,political party,cite,covenant,government,political coalition,planning board
abnegation,social rejection,philosophy,selflessness,renunciation,moral philosophy,self-denial,denial,rejection,abstinence,forgoing,ideal,self-control,,,
wrestler,scrapper,combatant,person,fighter,battler,,,,,,,,,,
needlepoint,work of art,handicraft,pic,needlework,handcraft,textile,embroidery,needlecraft,handwork,icon,,,,,
petrology,morphology,methodology,geophysics,geophysical science,geology,geomorphology,,,,,,,,,
share,possession,parceling,supply,apportioning,parcelling,assets,allocation,resource,apportionment,certificate,asset,distribution,allotment,,
pons,brain,body part,,,,,,,,,,,,,
synchronizer,transmission,transmission system,component,measuring device,mechanism,,,,,,,,,,
stater,coin,debt instrument,mintage,tender,metal money,coinage,negotiable instrument,,,,,,,,
literary critic,judge,person,critic,evaluator,,,,,,,,,,,
dress,clothes,clothing,uniform,,,,,,,,,,,,
oratory,person,address,,,,,,,,,,,,,
court,social function,polity,sports ground,government,legislative body,pitch,business process,public building,law-makers,government agency,authorities,group event,playing field,athletic field,general assembly
cookhouse,public building,kitchen,,,,,,,,,,,,,
footman,working man,house servant,manservant,worker,domestic help,manual laborer,domestic worker,domestic servant,servant,workman,person,employee,working person,,
activator,biomolecule,,,,,,,,,,,,,,
Gondi,language,library science,philosophy,dravidian language,dravidian,dravidian languages,philosophy of language,,,,,,,,
top side,country,real property,real estate,realty,,,,,,,,,,,
algebra,pure mathematics,area of mathematics,,,,,,,,,,,,,
Linum,plant genus,,,,,,,,,,,,,,
deserter,wrongdoer,quitter,bad person,person,,,,,,,,,,,
register,written account,component,evidence,add-in,written record,electronic component,plug-in,technology,card,point of reference,pc board,write-up,controller,electronic equipment,indication
blunder,fault,mistake,error,,,,,,,,,,,,
coal,stone,chemical process,fragment,reaction mixture,chemical change,chemical reduction,biomaterial,physical system,fuel,chemical action,natural action,natural process,,,
nu metal,musical style,popular music genre,rock 'n' roll,heavy metal music,music genre,economic science,heavy metal,rock music,,,,,,,
turnpike,infrastructure,constructed structure,route,main road,way,obstructor,,,,,,,,,
backstay,structural member,support,reinforcement,stay,strengthener,brace,,,,,,,,,
euphemism,saying,humour,image,literary technique,wit,grammatical construction,witticism,phrase,syntagma,humor,figure,language,oral communication,figure of speech,speech
anticyclone,atmosphere,natural phenomenon,weather condition,,,,,,,,,,,,
copper,soln,conductor,thermodynamic system,native metal,metallicity,legal tender,coin,coloring material,stone,metallic element,colour,metal,solution,polyphyletic,alloy
sloop,transportation,passenger transport,sailing ship,ship type,mode of transport,ship,transport,means of transport,sailboat,boat,sailing boat,,,,
staginess,unnaturalness,artificiality,,,,,,,,,,,,,
closeness,distance,belonging,placement,spatial arrangement,spacing,arrangement,spatial relation,,,,,,,,
rectory,residence,constructed structure,,,,,,,,,,,,,
square sail,work of art,sail,,,,,,,,,,,,,
syneresis,chemical process,sound change,chemical change,chemical action,natural action,natural process,,,,,,,,,
telemovie,flick,recording,tv program,moving picture,data storage device,transmission channel,storage medium,feature,data-storage medium,feature film,tv show,broadcast,television show,picture show,movie
committee,nongovernmental organization,ngo,non-governmental organization,non-governmental organisation,,,,,,,,,,,
hell,fictitious place,misbehavior,wrongdoing,misbehaviour,misconduct,wrongful conduct,misdeed,mythical place,imaginary place,,,,,,
avenue,roadway,freeway,thruway,street,way,route,main road,motorway,fund,state highway,physical system,superhighway,controlled-access highway,expressway,store
Unix shell,computer programme,shell,coding system,fundamental interaction,computer program,,,,,,,,,,
papillon,dog type,domestic animal,domestic dog,toy dog,breed,dog breed,dog,domesticated animal,animal,animal group,,,,,
lats,monetary unit,,,,,,,,,,,,,,
ideal gas,gaseous state,state,gas,state of matter,,,,,,,,,,,
boson,subatomic particle,particle,,,,,,,,,,,,,
saltire,picture,figure,fault,image,cross,icon,,,,,,,,,
child care,aid,assistance,assist,help,service,,,,,,,,,,
van,camper van,motorhome,move,wheeled vehicle,traveling,technology,transport,automotive vehicle,rv,military force,travel,self-propelled vehicle,road vehicle,recreational vehicle,vehicle
conformist,conservative,,,,,,,,,,,,,,
lira,monetary unit,,,,,,,,,,,,,,
viral marketing,social relation,buzz word,decision-making,social psychology,buzzword,group behaviour,,,,,,,,,
sucker,dupe,confectionery,teleost fish,victim,marine animal,simple sugar,goody,confection,confectionary,candy,sugar,carbohydrate,sweets,methodology,treat
shuttle,transportation,means of transport,travel,move,passenger transport,mechanism,missile,motion,public transport,conveyance,mechanical assembly,traveling,projectile,travelling,transport
bed rest,attention,rest,medical aid,health care,therapy,treatment,relaxation,medical care,aid,care,,,,,
compound,constructed structure,lexical unit,edifice,dictionary entry,public building,language unit,lexical item,,,,,,,,
release notes,computer file,evidence,write-up,written document,scientific evidence,file,text file,textfile,,,,,,,
harrow,agricultural machinery,agricultural equipment,farm machinery,mechanism,farm machine,,,,,,,,,,
granadilla,plant,passion flower,genus passiflora,edible fruit,passiflora,passionflower vine,passionflower,passion fruit,,,,,,,
autocracy,political organization,political ideology,scheme,form of government,government,social control,government activity,administration,governance,political organisation,governing,form of rule,gov,political system,
fire service,government department,dept,branch,government agency,department,local department,,,,,,,,,
Stokes drift,variable,speed,temporal property,swiftness,variable quantity,,,,,,,,,,
capability,susceptibility,state,technical specification,,,,,,,,,,,,
transmission,gear mechanism,sending,mechanical assembly,mechanism,,,,,,,,,,,
Cnidaria,animal,,,,,,,,,,,,,,
turbofan,engine,thermodynamic system,jet plane,heavier-than-air craft,internal-combustion engine,passenger transport,multi-cylinder engine,piston engine,fixed-wing aircraft,engine configuration,aircraft,plane,mechanical assembly,mechanism,motor
Nubian,plant,egyptian,tracheophyte,preservation,person,political economy,biological group,african,knowledge organization,,,,,,
accelerator,printed circuit,circuit,component,computer circuit,electronic circuit,controller,electronic component,electronic equipment,pedal,electrical circuit,foot pedal,circuit board,foot lever,pc board,microcircuit
generation,function,bodily process,biological group,bodily function,business process,sexual activity,reproduction,sex activity,sexual act,sexual relations,breeding,stage,,,
house,line of descent,musical style,legislative assembly,kindred,heredity,law-makers,kin,lodging,clan,blood line,pedigree,bloodline,housing,public building,living accommodations
fish,card game,biological group,binomial name,habitat,microhabitat,microenvironment,environment,environment variable,animal,habitation,binomial nomenclature,,,,
greenmail,maneuver,decision,move,measure,step,manoeuvre,tactical manoeuvre,tactical maneuver,,,,,,,
interleaf,folio,sheet,piece of paper,book,paper,piece of work,leaf,sheet of paper,page,,,,,,
empennage,airplane,means of transportation,conveyance,mechanical assembly,transport,vehicle,aircraft part,mode of transport,aircraft,mechanism,,,,,
Apiaceae,plant,,,,,,,,,,,,,,
operation,medical science,engineering science,utility program,data processing,calculation,processing,business activity,human language,engineering,computation,warring,endeavor,utility,military action,language
flavin,ketone,,,,,,,,,,,,,,
tropical depression,atmosphere,windstorm,violent storm,air current,weather,atmospheric condition,current of air,physical phenomenon,natural phenomenon,flux,cyclone,weather condition,wind,,
kidney transplantation,medical science,surgical procedure,organ transplantation,learned profession,surgical process,surgical operation,evidence,data file,organ transplant,file,medicine,medical procedure,surgery,transplantation,technology
lipstick,make-up,makeup,cosmetic,cosmetics,,,,,,,,,,,
ulnar artery,blood supply,bodily structure,closed circulatory system,tube,blood circulation,body structure,anatomical structure,cardiovascular system,body part,vasculature,artery,bloodstream,vascular system,,
hill,mountain,cartography,elevation,natural elevation,mount,mapmaking,,,,,,,,,
megathrust earthquake,natural disaster,observable,disaster,peril,seism,phenomenon,danger,jeopardy,misfortune,hazard,risk,endangerment,seismic activity,quake,trouble
fiber,cell,thread of execution,fabric,thread,cloth,food product,hardware,equipment,foodstuff,textile,computer hardware,,,,
pud,dessert,,,,,,,,,,,,,,
cornstarch,carbohydrate,glycan,saccharide,polysaccharide,,,,,,,,,,,
disposition,specifications,written document,technical specification,,,,,,,,,,,,
general assembly,unicameral legislature,national assembly,unicameralism,,,,,,,,,,,,
inspection,enquiry,investigating,investigation,inquiry,scrutiny,,,,,,,,,,
space research,scientific research,methodology,scientific method,,,,,,,,,,,,
protist,microorganism,micro-organism,,,,,,,,,,,,,
rat-catcher,working man,workingman,workman,worker,employ,person,employee,working person,quotation,grammatical relation,technical specification,,,,
retainer,working man,workingman,fixed costs,worker,retail price,cost,labourer,disbursement,fixed cost,fee,transferred property,fixed charge,workman,disbursal,charge
proton pump,protein,integral membrane protein,biomolecule,,,,,,,,,,,,
circuit,function,track,route,move,bound,judiciary,electrical device,membership,circuitry,electronic equipment,devising,path,race track,racecourse,electronic circuit
disincentive,rational motive,,,,,,,,,,,,,,
botany,bioscience,,,,,,,,,,,,,,
anglophile,advocator,advocate,protagonist,admirer,supporter,friend,booster,,,,,,,,
blank,cartridge,munition,electric energy,measurement,gap,depiction,devoid,weaponry,measure,depicting,flat solid,crack,storage,record album,studio album
ironing,consumer durables,home appliance,clothing,appliance,household appliance,mechanical assembly,durables,clothes,,,,,,,
quads,muscular tissue,general anatomy,muscle tissue,striated muscle,soft tissue,animal tissue,skeletal muscle,anatomy,musculus,striated muscle tissue,extensor muscle,,,,
far left,deciding,decision-making,decision making,group behaviour,,,,,,,,,,,
script,written language,utility program,computer language,software program,measure,sign,depiction,system software,dramatic art,computer program,programing language,depicting,font,measurement,programming language
station,ratio,technical specification,radio frequency,social station,magnitude relation,public building,rate,,,,,,,,
warming,phenomenon,temperature change,weather,atmospheric phenomenon,atmospheric condition,operator,weather condition,natural process,natural phenomenon,atmospheric conditions,,,,,
storm,function,technical specification,specifications,hostility,disagreement,mapping,musical work,single-valued function,physical phenomenon,natural phenomenon,flutter,difference of opinion,optical phenomenon,attack,atmospheric phenomenon
first lady,woman,success,wife,female person,adult female,wifie,married woman,person,female,spouse,married person,husband,,,
needle,measuring system,measuring instrument,pointer,stylus,,,,,,,,,,,
powertrain,mechanical assembly,mechanism,,,,,,,,,,,,,
selector,slot,electrical network,component,add-in,controller,plug-in,integrated circuit,constituent,card,circuit board,microcircuit,electric circuit,switch,board,circuit
dentist,physician,medico,health professional,primary care provider,health science,doctor,medical doctor,doc,health care provider,medical practitioner,person,medical man,dr.,medical specialist,
vindication,clearing,justification,research,healing knowledge,liberation,,,,,,,,,,
dulcimer,stringed instrument,string instrument,musical instrument,plucked string instrument,,,,,,,,,,,
tacking,needlecraft,stitch,,,,,,,,,,,,,
instruction,story,language,narrative mode,narrative,narration,human language,architecture,make-up,written communication,communication medium,piece of work,,,,
kink,malady,angular shape,muscle spasm,proclivity,propensity,sickness,shape,proneness,muscle contraction,angularity,fold,body part,illness,bend,muscular contraction
office automation,mechanisation,short story,automation,utilisation,engineering,technology,high tech,use,high technology,utilization,book,usage,exercise,,
sister,relative,woman,female,sib,female sibling,adult female,religious person,member,sibling,person,missy,young woman,girlie,fellow member,family relationship
windage,retarding force,mechanical phenomenon,fundamental measure,deflexion,physical phenomenon,natural phenomenon,physical property,fundamental quantity,deflection,size,,,,,
clopyralid,biocide,herbicide,weed killer,micro-organism,,,,,,,,,,,
pedestrian,person,race,traveller,traveler,,,,,,,,,,,
fading,shift,transformation,weakening,,,,,,,,,,,,
mountain,elevation,natural elevation,,,,,,,,,,,,,
eisteddfod,festival,party,function,social event,celebration,,,,,,,,,,
chairman,corporate executive,presiding officer,administrator,executive director,business executive,executive,juridical person,boss,person,chief,decision maker,constituent,corporate title,senior management,leader
bottled water,drinkable,state of matter,drink,fluid,drinking water,h2o,beverage,potable,liquid state,liquidity,,,,,
supervolcano,extinct volcano,mountain,harm,injury,toilet,mount,terrain,hurt,trauma,lithostratigraphic unit,volcano,separation process,locus,,
bayan,instrument,musical instrument,free reed,keyboard instrument,accordion,,,,,,,,,,
quote,portraying,text,punctuation,textual matter,representational process,portrayal,punctuation mark,extract,,,,,,,
headmaster,educationist,instructor,teacher,educator,,,,,,,,,,,
fresco,visual arts,work of art,wall painting,picture,graphic art,image,fine arts,beaux arts,fine art,visual art,painting,method,painter,,
glottal stop,sound,alphabetic character,metrology,signal,stop,speech sound,language unit,representational process,depicting,graphic symbol,obstruent,,,,
singlet,innerwear,underwear,clothing,clothes,,,,,,,,,,,
yawl,ship type,traveling,ship,boat,sailboat,travel,sail,mechanism,small boat,transport,sailing boat,travelling,movement,transportation,sailing vessel
quincunx,obligation,textfile,,,,,,,,,,,,,
urinary bladder,organ,cavity,bladder,body structure,body part,bodily structure,,,,,,,,,
