hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
elbow joint,synovial joint,joint,articulation,body part,,,,,,,,,,,
old age psychiatry,psychiatry,,,,,,,,,,,,,,
cancer of skin,soft tissue mass,soft tissue lesion,clinical finding,disease,malignant tumor,skin lesion,cancer,,,,,,,,
neurotransmitter,neurochemical,,,,,,,,,,,,,,
periodontia,specialty,dentistry,dental medicine,medicine,medical specialty,medical science,practice of medicine,,,,,,,,
radical cystoprostatectomy,radical prostatectomy,surgical removal,radical cystectomy,removal,operative procedure,prostatectomy,excision,procedure,,,,,,,
oral morphine,morphine,opiate,,,,,,,,,,,,,
group psychotherapy,psychotherapy,therapy,medical care,medical aid,treatment,intervention,aid,attention,health care,care,therapeutic procedure,,,,
paraneoplastic peripheral neuropathy,paraneoplastic neuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,peripheral neuropathy,,,,,,,,,
ovarian cancer,malady,illness,sickness,disorder,disease,cancer,tumor,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor,growth,anatomical pathology
peripheral axonal neuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,axonal neuropathy,,,,,,,,,,
alcoholic liver disease,liver disease,malady,illness,sickness,disorder,disease,,,,,,,,,
cardioplegia,intervention,,,,,,,,,,,,,,
health psychologist,healthcare professional,worker,social scientist,psychologist,,,,,,,,,,,
sugar intake,food intake,dietary intake,intake,,,,,,,,,,,,
aspiration of liver,aspiration,removal,extraction,procedure,,,,,,,,,,,
urological oncology,medical oncology,surgical specialty,medical speciality,urology,oncology,,,,,,,,,,
brainstem structure,brain part,body structure,anatomical structure,nervous system structure,body region,head part,,,,,,,,,
pulmonary mucormycosis,disease of lung,fungal pneumonia,clinical finding,pneumonitis,respiratory disorder,infectious disease,inflammatory disorder,phycomycosis,lung consolidation,mycosis,disease,pneumonia,respiratory tract infection,mucormycosis,
chronic pulmonary thromboembolism,vascular disease,thromboembolic disease,embolism,pulmonary thromboembolism,soft tissue lesion,clinical finding,pulmonary embolism,respiratory disorder,arterial thrombosis,thrombosis,disease,pulmonary thrombosis,thromboembolism,,
surveillance for cancer,monitoring procedure,procedure,surveillance,,,,,,,,,,,,
neurological morbidity,clinical finding,complication,,,,,,,,,,,,,
disseminated nocardiosis,clinical finding,disease,nocardiosis,infectious disease,,,,,,,,,,,
scrub nurse,nurse,caregiver,health professional,primary care provider,health care provider,healthcare professional,professional nurse,worker,,,,,,,
idiopathic pulmonary hemosiderosis,disease of lung,hemosiderosis,clinical finding,metabolic disease,disease,respiratory disorder,nutritional disorder,interstitial lung disease,,,,,,,
psychasthenia,malady,illness,sickness,disorder,disease,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,pathological state,,
blood donation,donation,procedure,,,,,,,,,,,,,
bone autograft,surgical material,bone graft material,body material,transplantation,autograft,transplant,,,,,,,,,
neuropsychological battery,assessment scales,scale,,,,,,,,,,,,,
pediatric cardiologist,physician,healthcare professional,medical doctor,specialized physician,worker,medical practitioner,pediatrician,cardiologist,,,,,,,
cough headache syndrome,pain,clinical finding,craniofacial pain,neurological finding,syndrome,,,,,,,,,,
medullary sponge kidney,retroperitoneal mass,abdominal mass,clinical finding,congenital malformation,kidney disease,kidney lesion,disease,renal cyst,cyst,renal mass,,,,,
neuroeconomics,economics,political economy,interdisciplinary research,interdisciplinarity,neuroscience,neurobiology,,,,,,,,,
respiratory rate,vital sign,rate,ratio,clinical symptom,physical property,,,,,,,,,,
deltopectoral flap,surgical material,flap,,,,,,,,,,,,,
polyneuropathy,malady,illness,sickness,disorder,disease,neurological disorder,neurological disease,nervous disorder,state,neuropathy,clinical finding,peripheral nerve disease,,,
nurse manager,healthcare professional,nurse,,,,,,,,,,,,,
respiratory obstruction,clinical finding,respiratory disorder,obstruction,,,,,,,,,,,,
oncologist,medicine,medical specialty,medical science,practice of medicine,branch of science,,,,,,,,,,
red blood cell,cell,blood cell,corpuscle,somatic cell,,,,,,,,,,,
granulomatous prostatitis,clinical finding,disease,inflammatory disorder,prostatitis,,,,,,,,,,,
psychologist,healthcare professional,worker,social scientist,,,,,,,,,,,,
psychotherapy service,service,mental health service,,,,,,,,,,,,,
psychophysiologic insomnia,sleep disorder,insomnia,dyssomnia,disease,,,,,,,,,,,
neurosurgical site,operative site,body structure,site,,,,,,,,,,,,
lung surface,body region,lung structure,,,,,,,,,,,,,
tube pericardiostomy,fenestration,procedure,,,,,,,,,,,,,
pulmonary actinomycosis,disease of lung,clinical finding,disease,respiratory disorder,infectious disease,actinomycosis,,,,,,,,,
cardiovascular physical examination,clinical evaluation,physical examination,,,,,,,,,,,,,
neurolathyrism,malady,illness,sickness,disorder,disease,,,,,,,,,,
tropical pulmonary eosinophilia,helminth infection,disease of lung,clinical finding,pneumonitis,respiratory disorder,infectious disease,inflammatory disorder,nematode infection,eosinophilia,,,,,,
neuroendocrine neoplasm,proliferation,body structure,lump,neoplasm,,,,,,,,,,,
liver tissue,body material,tissue,,,,,,,,,,,,,
cardiotomy,intervention,,,,,,,,,,,,,,
cancer antigen 15-3,protein antigen,mucin,tumor-associated antigen,analyte,antigen,protein,,,,,,,,,
precapillary pulmonary hypertension,vascular disease,clinical finding,disease,respiratory disorder,pulmonary hypertension,hypertension,,,,,,,,,
brain fag,clinical finding,mental disorder,,,,,,,,,,,,,
ventilator associated pneumonia,disease of lung,lung consolidation,clinical finding,inflammatory disorder,disease,pneumonia,pneumonitis,,,,,,,,
atenolol,beta-adrenergic blocker,antihypertensive agent,beta-blocking agent,pharmaceutical drug,receptor antagonist,blocking agent,beta blocker,antagonist,medicament,blocker,ligand,amine,drug,,
neurophysin,carrier,carrier protein,protein,biopolymer,macromolecule,biomolecule,,,,,,,,,
psychotic disorder,clinical finding,mental disorder,disorder,,,,,,,,,,,,
artificial respiration,breathing,respiration,ventilation,emergency procedure,metabolic process,metabolization,metabolism,bodily function,chemical reaction,reaction,reaction mixture,chemical change,natural process,procedure,assisted breathing
cancer-related anemia,clinical finding,disease,anemia,,,,,,,,,,,,
prostate specific antigen,protein,glycoprotein,biopolymer,macromolecule,biomolecule,polymer,enzyme,hydrolase,antigen,,,,,,
paretic neurosyphilis,organic mental disorder,clinical finding,disease,spirochetal infection,syphilis,infectious disease,mental disorder,neurosyphilis,,,,,,,
pulmonary artery,artery,arteria,blood circulation,blood supply,vasculature,bloodstream,cardiovascular system,vessel,vas,vascular system,tube,anatomical structure,,,
pharmacopoeia,medicine,medical science,practice of medicine,,,,,,,,,,,,
oncofetal antigen,protein,biopolymer,macromolecule,biomolecule,polymer,antigen,tumor-associated antigen,,,,,,,,
expressive psychotherapy,therapy,therapeutic procedure,psychotherapy,,,,,,,,,,,,
femoral neuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,,,,,,,,,,,
autonomic neuropathy,clinical finding,disease,,,,,,,,,,,,,
psychophysics,experimental psychology,psychological science,,,,,,,,,,,,,
depth psychology,psychiatry,psychopathology,psychological medicine,psychotherapy,therapy,psychological science,psychology,medical research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine
carcinoma of prostate,malignant tumor,abdominal mass,clinical finding,pelvic mass,carcinoma,disease,cancer of prostate,,,,,,,,
sensory neuron,nervous system,nerve cell,neuron,neurone,cell,somatic cell,,,,,,,,,
prostatic massage,manipulation,procedure,massage,stimulation,,,,,,,,,,,
blood component,component,,,,,,,,,,,,,,
central obesity,clinical finding,adiposity,obesity,,,,,,,,,,,,
pulmonary thrombosis,vascular disease,soft tissue lesion,clinical finding,thrombosis,disease,respiratory disorder,,,,,,,,,
pharmaceutical industry,firm,corporation,company,partnership,venture,enterprise,,,,,,,,,
intrabony periodontal defect,oral lesion,soft tissue lesion,clinical finding,periodontal disease,disease,,,,,,,,,,
odontogenic tumor,proliferation,odontogenic neoplasm,body structure,lump,tumor,,,,,,,,,,
radical perineal prostatectomy,excision,procedure,prostatectomy,removal,open prostatectomy,surgical removal,perineal prostatectomy,,,,,,,,
psychiatric social worker,worker,social worker,,,,,,,,,,,,,
pneumology,medicine,medical specialty,medical science,,,,,,,,,,,,
bone marrow trephine,excision,trephination,removal,procedure,surgical removal,,,,,,,,,,
temporal lobe,lobe,body part,brain,encephalon,neural structure,organ,anatomical structure,,,,,,,,
school nurse,healthcare professional,professional nurse,worker,nurse,,,,,,,,,,,
iohexol,radiographic contrast media,radiopharmaceutical agent,iodinated contrast media,contrast material,radiopaque agent,carboxylic acid,contrast medium,contrast agent,diagnostic aid,contrast media,food allergen,drug,,,
cancer staging,tumor staging,staging,,,,,,,,,,,,,
uremic neuropathy,neuropathy,clinical finding,metabolic disease,disease,peripheral nerve disease,polyneuropathy,,,,,,,,,
ganglioneuroblastoma,malady,illness,sickness,disorder,disease,pathological state,proliferation,clinical finding,lump,body structure,malignant tumor,neoplasm,,,
respirator,ventilator,fan,breathing apparatus,,,,,,,,,,,,
neurofibrillary degeneration,lesion,,,,,,,,,,,,,,
blood serum,biofluid,humour,body fluid,fluid,state,serum,plasma,,,,,,,,
frontotemporal dementia,dementia,malady,illness,sickness,disorder,disease,encephalopathy,brain disease,brain disorder,clinical symptom,insanity,madness,neurological disorder,neurological disease,nervous disorder
pulmonary artery shunt,shunt,hole,passage,,,,,,,,,,,,
liver decompensation,clinical finding,disease,decompensation,,,,,,,,,,,,
cancer registrar,worker,registrar,,,,,,,,,,,,,
hypodontia,hereditary condition,genetic disorder,genetic disease,genetic abnormality,inherited disease,genetic defect,inherited disorder,hereditary disease,congenital disease,malady,illness,sickness,disorder,disease,congenital defect
microbiologist,biologist,naturalist,historian,scholar,student,intellect,intellectual,worker,,,,,,,
joint stiffness,clinical finding,stiffness,,,,,,,,,,,,,
periodontal abscess,abscess,dental abscess,oral lesion,periodontal disease,disease,clinical finding,soft tissue lesion,,,,,,,,
neuroleptanalgesia,administration of substance,introduction,intravenous sedation,administration of medication,sedation,,,,,,,,,,
bone fracture,accidental injury,injury,malady,illness,sickness,disorder,disease,harm,trauma,hurt,damage,pathological state,fracture,,
morbid obesity,fatness,malady,illness,sickness,disorder,disease,pathological state,clinical finding,adiposity,obesity,,,,,
cardiothoracic surgery department,hospital environment,surgical department,hospital department,department,,,,,,,,,,,
early gastric cancer,malignant tumor,abdominal mass,clinical finding,disease,gastric cancer,cancer,,,,,,,,,
neurotoxicity,clinical finding,poisoning,toxicity,,,,,,,,,,,,
pulmonary alveolar microlithiasis,disease of lung,clinical finding,interstitial lung disease,respiratory disorder,microlithiasis,lithiasis,,,,,,,,,
neurofibromatosis,monogenic disorder,monogenic disease,autosomal dominant disease,autosomal dominant disorder,malady,illness,sickness,disorder,disease,hereditary condition,genetic disorder,genetic disease,genetic abnormality,inherited disease,genetic defect
anti-inflammatory drug,pharmaceutical drug,drug,,,,,,,,,,,,,
fatty liver,liver disease,malady,illness,sickness,disorder,disease,,,,,,,,,
respiratory isolation,isolation procedure,procedure,,,,,,,,,,,,,
decompensated liver disease,clinical finding,disease,liver disease,,,,,,,,,,,,
periodontist,specialty,dentist,dental practitioner,health care provider,health professional,health science,medical man,medical practitioner,caregiver,primary care provider,healthcare professional,worker,,,
brain structure,head structure,anatomical structure,nervous system structure,body region,,,,,,,,,,,
pharmacy,medicine,medical specialty,medical science,branch of science,site of care,,,,,,,,,,
pediatric medicine,medicine,medical specialty,medical science,practice of medicine,branch of science,,,,,,,,,,
headache,cerebration,mentation,ache,aching,neurological disorder,neurological disease,nervous disorder,painful sensation,pain,pain sensation,higher cognitive process,stimulation,hurting,malady,illness
brain disorder,malady,illness,sickness,disorder,disease,neurological disorder,neurological disease,nervous disorder,pathological state,,,,,,
respiratory disorder,malady,illness,sickness,disorder,disease,pathological state,clinical finding,,,,,,,,
pectoralis,muscular tissue,musculus,striated muscle,skeletal muscle,animal tissue,soft tissue,contractor,bone tissue,organ,muscle tissue,fibre,fiber,connective tissue,conjunctive tissue,body part
bowel dysfunction,clinical finding,disease,dysfunction,,,,,,,,,,,,
familial cardiomyopathy,familial disease,cardiopathy,clinical finding,cardiac finding,disease,cardiomyopathy,,,,,,,,,
nephrology,medicine,medical specialty,internal medicine,general medicine,pediatrics,paediatrics,pediatric medicine,medical science,speciality,specialty,specialisation,specialization,practice of medicine,branch of science,
pediatric oncology service,service,,,,,,,,,,,,,,
pulmonary emphysema,respiratory disorder,respiratory disease,pulmonary disease,respiratory illness,malady,illness,sickness,disorder,disease,pathological state,disease of lung,clinical finding,emphysema,,
allergic bronchopulmonary mycosis,disease of lung,clinical finding,disease,respiratory disorder,respiratory tract infection,mycosis,allergic condition,infectious disease,,,,,,,
vasculitic neuropathy,neurological lesion,soft tissue lesion,clinical finding,neuropathy,disease,peripheral nerve disease,injury,,,,,,,,
surgical oncology,surgical specialty,oncology,specialty,speciality,,,,,,,,,,,
oral zinc,drug,zinc,,,,,,,,,,,,,
audiologist,healthcare professional,,,,,,,,,,,,,,
pulmonary amyloidosis,disease of lung,degenerative disorder,clinical finding,metabolic disease,disease,respiratory disorder,amyloidosis,,,,,,,,
exercise stress echocardiography,clinical evaluation,diagnostic ultrasonography,imaging of heart,echocardiography,cardiovascular investigation,imaging,,,,,,,,,
cobalt cardiomyopathy,cardiac finding,cardiopathy,disease,clinical finding,cardiomyopathy,,,,,,,,,,
pulmonary renal syndrome,disease of lung,renal impairment,clinical finding,respiratory disorder,acute respiratory disease,kidney disease,disease,syndrome,,,,,,,
brain tumour,tumor,neoplasm,malady,illness,disorder,disease,sickness,pathology,protein,medical research,medical diagnosis,clinical diagnosis,anatomical structure,body structure,biopolymer
neuropile,nervous tissue,nerve tissue,,,,,,,,,,,,,
neuroaxonal dystrophy,degenerative disorder,clinical finding,disease,dystrophy,,,,,,,,,,,
pediatrics,medicine,medical specialty,medical science,practice of medicine,branch of science,,,,,,,,,,
pulmonary edema,malady,illness,sickness,disorder,disease,edema,oedema,hydrops,swelling,puffiness,lump,clinical symptom,enlargement,pathological state,state
os odontoideum,disease,clinical finding,,,,,,,,,,,,,
entire right lung,hemithorax,anatomical structure,body region,lung structure,body structure,,,,,,,,,,
pulmonary angiogram,fluoroscopy,arteriography,cardiovascular investigation,imaging,clinical evaluation,angiogram,,,,,,,,,
kidney transplantation,organ transplantation,intervention,transplantation,organ transplant,transplant,surgery,identity card,identification card,surgical operation,surgical procedure,surgical process,medical procedure,medical science,practice of medicine,
cardiothoracic surgeon,healthcare professional,medical practitioner,surgeon,,,,,,,,,,,,
prosthetic joint infection,complication,clinical finding,disease,infection,,,,,,,,,,,
hysterical neurosis,neurosis,psychoneurosis,neuroticism,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,malady,illness,sickness,disorder,disease
anxiety neurosis,neurosis,psychoneurosis,neuroticism,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,malady,illness,sickness,disorder,disease
psychological counselling,counseling,,,,,,,,,,,,,,
cluster headache,malady,illness,sickness,disorder,disease,cephalalgia,headache,ache,aching,nervous disorder,painful sensation,pain,pain sensation,hurting,clinical symptom
bone fragment,displacement,defect,body structure,fracture,damage,fragment,,,,,,,,,
visiting nurse,nurse,caregiver,health professional,primary care provider,pcp,,,,,,,,,,
refractory periodontitis,clinical finding,periodontal disease,inflammatory disorder,disease,periodontitis,,,,,,,,,,
medical oncologist,healthcare professional,medical practitioner,clinical oncologist,oncologist,,,,,,,,,,,
atypical antipsychotic,psychotherapeutic agent,drug,antipsychotic agent,psychotropic agent,anti-psychotic agent,antipsychotic,,,,,,,,,
congenital cystic lung,disease of lung,clinical finding,congenital malformation,disease,respiratory disorder,,,,,,,,,,
pediatric rheumatology,rheumatology,,,,,,,,,,,,,,
episodic cluster headache,headache disorder,clinical finding,disease,trigeminal autonomic cephalalgia,,,,,,,,,,,
transthoracic echocardiography,clinical evaluation,cardiovascular investigation,imaging of heart,echocardiography,diagnostic ultrasonography,procedure,imaging,,,,,,,,
angiocardiography,intervention,participation,clinical evaluation,cardiovascular investigation,procedure,,,,,,,,,,
autonomic cardiovascular function,function,nervous system function,,,,,,,,,,,,,
musculus,contractor,organ,,,,,,,,,,,,,
galea aponeurotica,head part,head structure,body region,soft tissues,,,,,,,,,,,
sensory neuropathy,clinical finding,disease,,,,,,,,,,,,,
neurofibromatosis syndrome,familial disease,clinical finding,neurocutaneous syndrome,congenital malformation,disease,hereditary disease,congenital disease,syndrome,,,,,,,
acute respiratory insufficiency,clinical finding,disease,acute respiratory disease,respiratory disorder,acute disease,respiratory insufficiency,insufficiency,,,,,,,,
repair of bone,surgical repair,procedure,repair,,,,,,,,,,,,
pulmonology,medicine,medical specialty,medical science,,,,,,,,,,,,
restrictive lung disease,disease of lung,clinical finding,disease,respiratory disorder,,,,,,,,,,,
disease of bone,clinical finding,disease,,,,,,,,,,,,,
cardiothoracic surgery,surgical specialty,surgery,,,,,,,,,,,,,
inflammatory cardiomyopathy,clinical finding,cardiac finding,inflammatory disorder,disease,cardiopathy,cardiomyopathy,,,,,,,,,
paraneoplastic neuropathy,clinical finding,disease,neuropathy,,,,,,,,,,,,
bitemporal hemianopia,hemianopia,clinical finding,visual field defect,,,,,,,,,,,,
percutaneous liver biopsy,removal,biopsy,biopsy of liver,liver biopsy,,,,,,,,,,,
prostate cancer,adenocarcinoma,cancer,carcinoma,tumor,neoplasm,malignant neoplasm,malignant tumor,metastasis,secondary tumor,metastatic tumor,malady,illness,sickness,disorder,disease
psychic conflict,clinical finding,,,,,,,,,,,,,,
nonconvulsive status epilepticus,clinical finding,epilepsy,disease,status epilepticus,seizure disorder,,,,,,,,,,
chronic respiratory insufficiency,clinical finding,disease,respiratory disorder,respiratory insufficiency,,,,,,,,,,,
joint implant,implant,,,,,,,,,,,,,,
invasive cervical cancer,malignant tumor,uterine cancer,abdominal mass,clinical finding,pelvic mass,uterine mass,disease,cervical cancer,cancer,,,,,,
neurosurgery,surgical operation,surgical procedure,surgery,surgical process,speciality,specialty,specialisation,medical specialty,specialism,specialization,medical procedure,medicine,medical science,practice of medicine,career
psychalgia,clinical finding,mental distress,mental disorder,,,,,,,,,,,,
idiopathic inflammatory myositis,clinical finding,inflammatory disorder,disease,myositis,,,,,,,,,,,
neurological disease,malady,illness,sickness,disorder,disease,pathological state,,,,,,,,,
neurofeedback,biofeedback,training program,educational program,feedback,,,,,,,,,,,
brain tumor,tumor,neoplasm,vertebral canal,spinal canal,growth,anatomical pathology,canal,ductus,duct,ion channel,channel,malady,illness,disorder,disease
affective psychosis,clinical finding,mental disorder,disease,psychosis,,,,,,,,,,,
cardiology department,hospital environment,hospital department,environment,department,,,,,,,,,,,
neurological rehabilitation,therapy,therapeutic procedure,rehabilitation,,,,,,,,,,,,
analytical psychology,psychotherapeutics,psychotherapy,mental hygiene,psychiatry,psychopathology,psychological medicine,medical research,speciality,specialty,specialisation,medical specialty,specialism,specialization,medicine,research
bone cell,somatic cell,cell,,,,,,,,,,,,,
implantable cardioverter-defibrillator,impulse generator,,,,,,,,,,,,,,
radioulnar joint,joint structure,body structure,anatomical structure,upper limb,body region,entire joint,liver structure,,,,,,,,
neurotology,medicine,medical science,practice of medicine,,,,,,,,,,,,
complete blood count,blood count,blood test,count,reckoning,counting,tally,list,enumeration,biopsy,diagnostic test,diagnostic assay,medical test,assay,intervention,medical procedure
non-cardiogenic pulmonary edema,disease of lung,edema,clinical finding,disease,pulmonary edema,,,,,,,,,,
psychoneurosis,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,sickness,disorder,disease,pathological state,,,,
cardiovirus,microorganism,virus,,,,,,,,,,,,,
orthotopic liver transplant,implantation,grafting procedure,introduction,transplantation,procedure,solid organ transplant,transplant,,,,,,,,
odontogenic keratocyst,developmental anomaly,clinical finding,cyst,body structure,odontogenic cyst,disease,lump,,,,,,,,
transesophageal echocardiography,clinical evaluation,procedure,imaging of heart,echocardiography,cardiovascular investigation,imaging,cardiography,,,,,,,,
neurological deficit,neurological finding,deficit,,,,,,,,,,,,,
pulmonic valve,semilunar valve,cardiac valve,heart valve,valve,anatomical structure,body structure,control,controller,body part,slot,receptacle,,,,
bone necrosis,clinical finding,disease,injury,necrosis,,,,,,,,,,,
superior pulmonary vein,pulmonary vein,vena,vein,vas,vascular system,tube,anatomical structure,,,,,,,,
pulmonary infarction,disease of lung,respiratory disorder,vascular disease,disease,clinical finding,infarction,,,,,,,,,
capillary blood,blood,body fluid,,,,,,,,,,,,,
periodontal dressing,dental material,dressing,,,,,,,,,,,,,
neurological screening,clinical evaluation,screening procedure,screening,,,,,,,,,,,,
cervical spine,vertebra,spine,vertebral column,backbone,os,bone,skeletal structure,conjunctive tissue,organ,anatomical structure,body structure,animal tissue,body part,infrastructure,base
neurophysics,biophysics,physical science,physics,branch of science,,,,,,,,,,,
neuronal heterotopia,neurological lesion,clinical finding,congenital malformation,disease,body structure,heterotopia,,,,,,,,,
castration-sensitive prostate cancer,malignant tumor,abdominal mass,clinical finding,pelvic mass,disease,cancer of prostate,prostate cancer,cancer,,,,,,,
oral digoxin,glycoside,drug,inotropic agent,digoxin,,,,,,,,,,,
neurogenic bladder,malady,illness,sickness,disorder,disease,congenital defect,congenital disorder,birth defect,congenital abnormality,congenital anomaly,defect,anomaly,imperfection,clinical symptom,pathological state
whole blood donor,person,blood donor,donor,,,,,,,,,,,,
compensated respiratory acidosis,clinical finding,metabolic disease,disease,respiratory acidosis,acidosis,,,,,,,,,,
brief reactive psychosis,clinical finding,mental disorder,reactive psychoses,disease,psychosis,,,,,,,,,,
irregular bone,os,bone,connective tissue,conjunctive tissue,organ,animal tissue,body part,bone structure,body structure,anatomical structure,structure of bone,entire bone,,,
cardiopathy,malady,illness,sickness,disorder,disease,pathological state,state,cardiac finding,clinical finding,,,,,,
cardiopulmonary bypass circuit,oxygenator,perfusion pump,circuit,,,,,,,,,,,,
